Outcome	Date	Surface	Partner	Opponent in the final	Score in the final
Runner-up	16 July 2006	Clay	Oliver Marach	Jonas Björkman Thomas Johansson	3–6, 6–4, [4–10]
Runner-up	23 July 2006	Clay	Lucas Arnold Ker	Alberto Martín Fernando Vicente	4–6, 3–6
Runner-up	29 July 2007	Clay	Tomas Behrend	Potito Starace Luis Horna	6–7 (4–7) , 6–7 (5–7)
Runner-up	14 October 2007	Hard (i)	Tomas Behrend	Mariusz Fyrstenberg Marcin Matkowski	4–6, 2–6
Runner-up	2 March 2008	Hard (i)	Rogier Wassen	Paul Hanley Jordan Kerr	3–6, 6–3, [8–10]
Winner	13 July 2008	Clay	Philipp Kohlschreiber	Michael Berrer Mischa Zverev	6–3, 6–4
Runner-up	26 October 2008	Hard (i)	Philipp Kohlschreiber	Mahesh Bhupathi Mark Knowles	3–6, 3–6
Runner-up	8 February 2009	Hard (i)	Rogier Wassen	Martin Damm Robert Lindstedt	4–6, 3–6
Winner	14 June 2009	Grass	Philipp Kohlschreiber	Andreas Beck Marco Chiudinelli	6–3, 6–4
Runner-up	18 July 2010	Clay	Philipp Petzschner	Carlos Berlocq Eduardo Schwank	6–7 (5–7) , 6–7 (6–8)
Winner	3 October 2010	Hard	Viktor Troicki	Jonathan Erlich Jürgen Melzer	6–4, 6–4
Runner-up	27 February 2011	Hard	Alexander Peya	Scott Lipsky Rajeev Ram	6–4, 4–6, [3–10]
Runner-up	1 May 2011	Clay	Andreas Beck	Simone Bolelli Horacio Zeballos	6–7 (3–7) , 4–6
Runner-up	31 July 2011	Clay	Alexander Peya	František Čermák Filip Polášek	3–6, 6–7 (7–9)
Runner-up	27 August 2011	Hard	Alexander Peya	Jonathan Erlich Andy Ram	6–7 (2–7) , 4–6
Runner-up	6 January 2012	Hard	Philipp Kohlschreiber	Filip Polášek Lukáš Rosol	3–6, 4–6
Winner	4 January 2013	Hard	Philipp Kohlschreiber	Julian Knowle Filip Polášek	7–5, 6–4
Runner-up	14 April 2013	Clay	Dustin Brown	Julian Knowle Filip Polášek	3–6, 2–6
Winner	3 August 2013	Clay	Martin Emmrich	František Čermák Lukáš Dlouhý	6–4, 6–3
