Year	Tournament	Venue	Result	Extra
2000	World Junior Championships	Santiago , Chile	7th	Heptathlon
2003	European U23 Championships	Bydgoszcz , Poland	2nd	Heptathlon
2003	Universiade	Daegu , South Korea	11th	Pentathlon
2005	Universiade	Izmir , Turkey	5th	Pentathlon
2005	Décastar	Talence , France	8th	Heptathlon
2006	Hypo-Meeting	Götzis , Austria	18th	Heptathlon
2007	Hypo-Meeting	Götzis , Austria	23rd	Heptathlon
2007	World Championships	Osaka , Japan	16th	Heptathlon
2008	Hypo-Meeting	Götzis , Austria	17th	Heptathlon
2009	European Indoor Championships	Turin , Italy	8th	Pentathlon
2009	Hypo-Meeting	Götzis , Austria	8th	Heptathlon
