Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
17	December 3	@ Utah	L 98–115 (OT)	Damon Stoudamire (25)	Oliver Miller (8)	Oliver Miller (4)	Delta Center 19,590	1-16
18	December 5	@ Phoenix	L 91–110 (OT)	John Wallace (20)	Oliver Miller (9)	Damon Stoudamire (4)	America West Arena 19,023	1-17
19	December 7	Detroit	L 83–93 (OT)	John Wallace (23)	Oliver Miller (9)	Damon Stoudamire (9)	SkyDome 16,289	1-18
20	December 9	Charlotte	L 82–95 (OT)	Damon Stoudamire (20)	Oliver Miller (12)	Damon Stoudamire (7)	SkyDome 16,325	1-19
21	December 10	@ Philadelphia	W 104–97 (OT)	Walt Williams (39)	Oliver Miller (11)	Damon Stoudamire (14)	CoreStates Center 11,833	2-19
22	December 13	@ Chicago	L 70–97 (OT)	John Wallace (14)	John Wallace (7)	Chris Garner , Damon Stoudamire (3)	United Center 23,867	2-20
23	December 15	Indiana	L 101–108 (OT)	Marcus Camby (28)	Oliver Miller (8)	Damon Stoudamire (15)	SkyDome 14,562	2-21
24	December 17	Boston	L 83–88 (OT)	Tracy McGrady (17)	Oliver Miller (8)	Damon Stoudamire (5)	SkyDome 14,771	2-22
25	December 19	Milwaukee	W 92–91 (OT)	Damon Stoudamire (36)	Marcus Camby (14)	Damon Stoudamire (8)	SkyDome 15,076	3-22
26	December 20	Washington	L 92–94 (OT)	Marcus Camby , Damon Stoudamire (18)	Damon Stoudamire (7)	Damon Stoudamire (8)	SkyDome 15,434	3-23
27	December 22	@ Charlotte	L 79–81 (OT)	Damon Stoudamire (21)	Doug Christie , Damon Stoudamire (7)	Doug Christie (6)	Charlotte Coliseum 23,449	3-24
28	December 27	@ New York	W 97–94 (OT)	Damon Stoudamire (30)	Reggie Slater (11)	Damon Stoudamire (5)	Madison Square Garden 19,763	4-24
29	December 30	@ Detroit	L 95–100 (OT)	Damon Stoudamire (36)	Oliver Miller (11)	Damon Stoudamire (8)	The Palace of Auburn Hills 19,087	4-25
30	December 31	@ Washington	L 91–118 (OT)	Damon Stoudamire (19)	Tracy McGrady , Damon Stoudamire (5)	Damon Stoudamire (7)	MCI Center 19,651	4-26
