Model number	sSpec number	Cores	Frequency	Turbo	L2 cache	L3 cache	GPU model	GPU frequency	Socket	I/O bus	Release date	Release price ( USD )
standard power	standard power	standard power	standard power	standard power	standard power	standard power	standard power	standard power	standard power	standard power	standard power	standard power
Core i7-4770	SR149(C0)	4	3.4 GHz	3/4/5/5	4 × 256 KB	8 MB	HD Graphics 4600	350–1200 MHz	LGA 1150	DMI 2.0	June 2013	$303
Core i7-4770K	SR147(C0)	4	3.5 GHz	2/3/4/4	4 × 256 KB	8 MB	HD Graphics 4600	350–1250 MHz	LGA 1150	DMI 2.0	June 2013	$339
Core i7-4771	SR1BW(C0)	4	3.5 GHz	2/3/4/4	4 × 256 KB	8 MB	HD Graphics 4600	350–1200 MHz	LGA 1150	DMI 2.0	Sept 2013	$320
low power	low power	low power	low power	low power	low power	low power	low power	low power	low power	low power	low power	low power
Core i7-4770S	SR14H(C0)	4	3.1 GHz	4/5/7/8	4 × 256 KB	8 MB	HD Graphics 4600	350–1200 MHz	LGA 1150	DMI 2.0	June 2013	$303
ultra-low power	ultra-low power	ultra-low power	ultra-low power	ultra-low power	ultra-low power	ultra-low power	ultra-low power	ultra-low power	ultra-low power	ultra-low power	ultra-low power	ultra-low power
Core i7-4765T	SR14Q(C0)	4	2 GHz	6/7/9/10	4 × 256 KB	8 MB	HD Graphics 4600	350–1200 MHz	LGA 1150	DMI 2.0	June 2013	$303
Core i7-4770T	SR14N(C0)	4	2.5 GHz	6/9/11/12	4 × 256 KB	8 MB	HD Graphics 4600	350–1200 MHz	LGA 1150	DMI 2.0	June 2013	$303
ultra-low power, embedded	ultra-low power, embedded	ultra-low power, embedded	ultra-low power, embedded	ultra-low power, embedded	ultra-low power, embedded	ultra-low power, embedded	ultra-low power, embedded	ultra-low power, embedded	ultra-low power, embedded	ultra-low power, embedded	ultra-low power, embedded	ultra-low power, embedded
Core i7-4770TE	SR183(C0)	4	2.3 GHz	3.3GHz	4 × 256 KB	8 MB	HD Graphics 4600	350–1200 MHz	LGA 1150	DMI 2.0	June 2013	$303
