Team	Country	Home	Skip	Third	Second	Lead
North America	United States	Madison, Wisconsin	Craig Brown	Rich Ruohonen	John Dunlop	Peter Annis
North America	Canada	Winnipeg, Manitoba	Jennifer Jones	Cathy Overton-Clapham	Jill Officer	Dawn Askin
North America	Canada	Edmonton, Alberta	Kevin Koe *	Blake MacDonald	Carter Rycroft	Nolan Thiessen
North America	Canada	Saskatoon, Saskatchewan	Stefanie Lawton	Marliese Kasner	Teejay Surik	Lana Vey
North America	Canada	Edmonton, Alberta	Kevin Martin	John Morris	Marc Kennedy	Ben Hebert
North America	United States	Madison, Wisconsin	Debbie McCormick	Allison Pottinger	Nicole Joraanstad	Tracy Sachtjen
World	Scotland / Sweden	Lockerbie	David Murdoch	Ewan MacDonald	Niklas Edin	Euan Byers
World	Sweden	Härnösand	Anette Norberg	Kajsa Bergström	Cathrine Lindahl	Anna Svärd
World	Switzerland	Davos	Mirjam Ott	Carmen Schäfer	Valeria Spälty	Janine Greiner
World	China	Harbin	Wang Bingyu	Liu Yin	Yue Qingshuang	Zhou Yan
World	China	Harbin	Wang Fengchun	Liu Rui	Xu Xiaoming	Zang Jialiang
World	Norway	Oslo	Thomas Ulsrud	Torger Nergård	Christoffer Svae	Håvard Vad Petersson
