Date	Opponent	Score	Loss	Attendance	Record
September 1	@ Nationals	7–4	Kendrick (11–8)	28,393	75–63
September 2	@ Nationals	4–0	Lannan (8–13)	23,150	76–63
September 3	@ Nationals	9–7	C. Durbin (5–4)	23,122	76–64
September 5	@ Mets	3–0	Pelfrey (13–9)	48,302	77–64
September 6	Postponed due to weather (September 7)	Postponed due to weather (September 7)	Postponed due to weather (September 7)	Postponed due to weather (September 7)	Postponed due to weather (September 7)
September 7	@ Mets (DH-1)	6–2	Martínez (5–4)	55,797	78–64
September 7	@ Mets (DH-2)	6–3	Hamels (12–9)	54,980	78–65
September 8	Marlins	8–6	Sánchez (2–4)	38,921	79–65
September 9	Marlins	10–8	Kendrick (11–9)	40,554	79–66
September 10	Marlins	7–3	Myers (9–11)	38,665	79–67
September 11	Brewers	6–3	Sheets (13–8)	39,994	80–67
September 12	Postponed due to weather (September 14)	Postponed due to weather (September 14)	Postponed due to weather (September 14)	Postponed due to weather (September 14)	Postponed due to weather (September 14)
September 13	Brewers	7–3	Parra (10–8)	45,105	81–67
September 14	Brewers (DH-1)	7–3	Mota (5–6)	43,950	82–67
September 14	Brewers (DH-2)	6–1	Suppan (10–9)	39,776	83–67
September 16	@ Braves	8–7	González (0–3)	30,319	84–67
September 17	@ Braves	6–1	Jurrjens (13–10)	32,821	85–67
September 18	@ Braves	4–3	Hampton (2–3)	39,070	86–67
September 19	@ Marlins	14–8	Myers (10–12)	20,202	86–68
September 20	@ Marlins	3–2	Sánchez (2–5)	28,757	87–68
September 21	@ Marlins	5–2	Volstad (5–4)	28,173	88–68
September 22	Braves	6–2	Bennett (3–7)	36,796	89–68
September 23	Braves	3–2	Hamels (14–10)	39,322	89–69
September 24	Braves	10–4	Myers (10–13)	41,430	89–70
September 26	Nationals	8–4	Balester (3–7)	44,145	90–70
September 27	Nationals	4–3	Lannan (9–15)	45,177	91–70
September 28	Nationals	8–3	Pérez (7–12)	44,945	92–70
