Competition	Played	Drawn	Lost	Position
Super League III	23	0	15	9th
Super League IV	30	0	25	13th
Super League V	28	1	15	7th
Super League VI	28	2	6	3rd
Super League VII	28	0	12	5th
Super League VIII	28	3	12	7th
Super League IX	28	2	12	3rd
Super League X	28	2	11	5th
Super League XI	28	0	8	2nd
Super League XII	27	2	11	5th
Super League XIII	27	1	18	11th
Super League XIV	27	0	17	12th
Super League XV	27	0	11	6th
Super League XVI	27	1	13	8th
Super League XVII	27	2	10	6th
Super League XVIII	27	2	12	6th
