Catalog #	Title	Year	Composer	Released
PCR 501	Master Of Ballantrae	1984	Bruce Broughton	1998
PCR 502	Breakout	1975	Jerry Goldsmith	1999
PCR 503	Contract On Cherry Street	1977	Jerry Goldsmith	1999
PCR 504	Bite The Bullet	1975	Alex North	1999
PCR 505	The Challenge	1982	Jerry Goldsmith	2000
PCR 506	Hammett	1982	John Barry	2000
PCR 507	Police Story / Medical Story	1973 / 1975	Jerry Goldsmith	2000
PCR 508	Africa	1967	Alex North	2001
PCR 509	Amanda	1995	Basil Poledouris	2001
PCR 510	Flyers / Fire On The Mountain	2001 / 1981	Basil Poledouris	2001
PCR 511	Rio Lobo	1970	Jerry Goldsmith	2001
PCR 512	Big Jake	1971	Elmer Bernstein	2001
PCR 513	Flesh+Blood	1985	Basil Poledouris	2002
PCR 514	Masquerade	1988	John Barry	2002
PCR 515	Blow Out	1981	Pino Donaggio	2002
PCR 516	The Package	1989	James Newton Howard	2003
PCR 517	The Swarm	1978	Jerry Goldsmith	2003
PCR 518	The White Buffalo	1977	John Barry	2003
PCR 519	Amerika	1987	Basil Poledouris	2004
PCR 520	Escape To Victory (Victory)	1981	Bill Conti	2005
PCR 521	Mike's Murder	1981	John Barry	2009
PCR 522	Robin And Marian	1976	John Barry	2008
