Title	Other performer(s)	Director(s)	Album	Year
" Pon de Replay "	N/A	Little X	Music of the Sun	2005
" If It's Lovin' that You Want "	N/A	Marcus Raboy	Music of the Sun	2005
" SOS "	N/A	Chris Applebaum	A Girl like Me	2006
" Unfaithful "	N/A	Anthony Mandler	A Girl like Me	2006
" We Ride "	N/A	Anthony Mandler	A Girl like Me	2006
" Umbrella "	Jay-Z	Chris Applebaum	Good Girl Gone Bad	2007
" Shut Up and Drive "	N/A	Anthony Mandler	Good Girl Gone Bad	2007
" Hate That I Love You "	Ne-Yo / David Bisbal	Anthony Mandler	Good Girl Gone Bad	2007
" Don't Stop the Music "	N/A	Anthony Mandler	Good Girl Gone Bad	2007
" Take a Bow "	N/A	Anthony Mandler	Good Girl Gone Bad: Reloaded	2008
" If I Never See Your Face Again "	Maroon 5	Anthony Mandler	Good Girl Gone Bad: Reloaded	2008
" Disturbia "	N/A	Anthony Mandler	Good Girl Gone Bad: Reloaded	2008
" Rehab "	N/A	Anthony Mandler	Good Girl Gone Bad	2008
" Live Your Life "	T.I.	Anthony Mandler	Paper Trail	2008
" Run This Town "	Jay-Z and Kanye West	Anthony Mandler	The Blueprint 3	2009
" Wait Your Turn "	N/A	Anthony Mandler	Rated R	2009
" Russian Roulette "	N/A	Anthony Mandler	Rated R	2009
" Hard "	Young Jeezy	Melina Matsoukas	Rated R	2009
" Shy Ronnie "	The Lonely Island	Akiva Schaffer	N/A	2009
" Rude Boy "	N/A	Melina Matsoukas	Rated R	2010
" Rockstar 101 "	Slash	Melina Matsoukas	Rated R	2010
" Te Amo "	N/A	Anthony Mandler	Rated R	2010
" Love the Way You Lie "	Eminem	Joseph Kahn	Recovery	2010
" Who's That Chick "	David Guetta	Jonas Åkerlund	One More Love	2010
" Only Girl (In the World) "	N/A	Anthony Mandler	Loud	2010
"Shy Ronnie 2: Ronnie & Clyde"	The Lonely Island	Akiva Schaffer	Turtleneck & Chain	2010
" What's My Name? "	Drake	Philip Andelman	Loud	2010
" S&M "	N/A	Melina Matsoukas	Loud	2011
" All of the Lights "	Kanye West and Kid Cudi	Hype Williams	My Beautiful Dark Twisted Fantasy	2011
" California King Bed "	N/A	Anthony Mandler	Loud	2011
" Man Down "	N/A	Anthony Mandler	Loud	2011
" Cheers (Drink to That) "	N/A	Evan Rogers and Ciara Pardo	Loud	2011
" Fly "	Nicki Minaj	Sanaa Hamri	Pink Friday	2011
" We Found Love "	Calvin Harris	Melina Matsoukas	Talk That Talk	2011
" You da One "	N/A	Melina Matsoukas	Talk That Talk	2011
" Take Care "	Drake	Yoann Lemoine	Take Care	2012
" Where Have You Been "	N/A	Dave Meyers	Talk That Talk	2012
" Princess of China "	Coldplay	Adria Petty and Alan Bibby	Mylo Xyloto	2012
" Diamonds "	N/A	Anthony Mandler	Unapologetic	2012
" Stay "	Mikky Ekko	Sophie Muller	Unapologetic	2013
" Pour It Up "	N/A	Robyn Fenty	Unapologetic	2013
" What Now "	N/A	Unknown	Unapologetic	2013
