Tournament	2006	2007	2008	2009	2010	2011	2012
Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments
Australian Open	A	1R	2R	2R	2R	1R	A
French Open	A	Q2	1R	Q1	1R	3R	2R
Wimbledon	1R	2R	1R	A	1R	1R	Q1
US Open	1R	2R	1R	1R	1R	1R	A
Win–Loss	0–2	2–3	1–4	1–2	1–4	2–4	1–1
ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series
Indian Wells Masters	A	A	1R	2R	1R	2R	A
Miami Masters	A	A	2R	Q2	2R	1R	A
Monte Carlo Masters	A	A	A	A	3R	Q1	Q2
Rome Masters	A	A	A	A	1R	A	A
Madrid Masters	A	A	A	A	A	A	Q1
Canada Masters	A	A	A	Q1	1R	A	1R
Cincinnati Masters	A	A	A	A	2R	A	A
Shanghai Masters	Not Masters Series	Not Masters Series	Not Masters Series	A	1R	A	1R
Paris Masters	A	Q1	A	Q1	1R	A	A
Hamburg Masters	A	Q1	1R	Not Masters Series	Not Masters Series	Not Masters Series	Not Masters Series
Win–Loss	0–0	0–0	1–3	1–1	4–8	1–2	0–2
Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics
Titles–Finals	0–0	0–0	0–0	0–0	0–1	0–1	0–0
Year End Ranking	152	57	131	74	58	100	138
