Name	Country	Status	Moving to	Transfer fee
Mears	ENG	Transferred	Derby County	£1m
Sheringham	ENG	Transferred	Colchester United	Free
Reo-Coker	ENG	Transferred	Aston Villa	£8.5m
Newton	ENG	Transferred	Leicester City	Free
Carroll	NIR	Transferred	Rangers	Free
Benayoun	ISR	Transferred	Liverpool	Undisclosed
Konchesky	ENG	Transferred	Fulham	£3.25m
Harewood	ENG	Transferred	Aston Villa	Undisclosed
Tévez	ARG	Transferred	Manchester United	Undisclosed
Ephraim	ENG	Loaned	Queens Park Rangers	Loan
Dailly	SCO	Loaned	Southampton	Loan
Ephraim	ENG	Transferred	Queens Park Rangers	Undisclosed
Dailly	SCO	Transferred	Rangers	Undisclosed
