Week	Date	Opponent	Result	Game site	Attendance
1	1993-09-05	Denver Broncos	L 26–20	The Meadowlands	68,130
2	1993-09-12	at Miami Dolphins	W 24–14	Joe Robbie Stadium	70,314
3	Bye	Bye	Bye	Bye	Bye
4	1993-09-26	New England Patriots	W 45–7	The Meadowlands	64,836
5	1993-10-03	Philadelphia Eagles	L 35–30	The Meadowlands	72,593
6	1993-10-10	at Los Angeles Raiders	L 24–20	Los Angeles Memorial Coliseum	41,627
7	Bye	Bye	Bye	Bye	Bye
8	1993-10-24	Buffalo Bills	L 19–10	The Meadowlands	71,541
9	1993-10-31	at New York Giants	W 10–6	Giants Stadium	71,659
10	1993-11-07	Miami Dolphins	W 27–10	The Meadowlands	71,306
11	1993-11-14	at Indianapolis Colts	W 31–17	RCA Dome	47,351
12	1993-11-21	Cincinnati Bengals	W 17–12	The Meadowlands	64,264
13	1993-11-28	at New England Patriots	W 6–0	Foxboro Stadium	42,810
14	1993-12-05	Indianapolis Colts	L 9–6	The Meadowlands	45,799
15	1993-12-11	at Washington Redskins	W 3–0	Robert F. Kennedy Memorial Stadium	47,970
16	1993-12-18	Dallas Cowboys	L 28–7	The Meadowlands	73,233
17	1993-12-26	at Buffalo Bills	L 16–14	Rich Stadium	70,817
18	1994-01-02	at Houston Oilers	L 24–0	Houston Astrodome	61,040
