Date	Opponent	Score	Loss	Attendance	Record
July 1	Yankees	4 - 1	Alexander (7-5)	41,476	46-29
July 2	Yankees	5 - 3	Key (6-3)	35,202	46-30
July 3	Yankees	3 - 2 (10)	Bordi (1-2)	40,376	47-30
July 4	@ Athletics	3 - 2	Caudill (4-4)	46,770	47-31
July 5	@ Athletics	8 - 2	Krueger (5-8)	17,937	48-31
July 6	@ Athletics	5 - 1	Alexander (7-6)	23,230	48-32
July 7	@ Athletics	8 - 2	McCatty (4-4)	28,631	49-32
July 8	@ Mariners	4 - 0	Moore (7-5)	20,817	50-32
July 9	@ Mariners	9 - 4 (13)	Vande Berg (0-1)	10,393	51-32
July 10	@ Mariners	11 - 1	Wills (4-2)	12,815	52-32
July 11	@ Angels	5 - 3	Slaton (4-8)	31,672	53-32
July 12	@ Angels	5 - 3	Key (7-4)	35,870	53-33
July 13	@ Angels	4 - 3	Lavelle (3-3)	42,054	53-34
July 14	@ Angels	5 - 3	Lavelle (3-4)	35,306	53-35
July 18	Athletics	6 - 4	Lavelle (3-5)	32,231	53-36
July 19	Athletics	5 - 1	Sutton (9-6)	28,218	54-36
July 20	Athletics	5 - 1	Stieb (9-6)	35,187	54-37
July 21	Athletics	11 - 4	Krueger (7-9)	36,109	55-37
July 22	Mariners	3 - 1	Langston (5-7)	25,110	56-37
July 23	Mariners	4 - 2	Moore (8-6)	28,419	57-37
July 24	Mariners	3 - 1	Young (7-11)	26,163	58-37
July 25	Angels	7 - 0	Witt (8-7)	32,083	59-37
July 26	Angels	8 - 3	Lugo (3-3)	31,294	60-37
July 27	Angels	8 - 3	Mack (0-1)	44,116	61-37
July 28	Angels	5 - 1	McCaskill (6-7)	36,190	62-37
July 29	@ Orioles	4 - 3 (10)	Boddicker (10-11)	41,599	63-37
July 30	@ Orioles	4 - 3 (10)	Lavelle (3-6)	26,561	63-38
July 31	@ Orioles	5 - 3	Martínez (7-7)	32,044	64-38
