Title	Developer	Genre	Release date	Version
3D Picture Puzzle	Microsoft Studios	Puzzle	2011-03-23	1.0
A Beanstalk Tale	Dino Games	Action	2010-12-16	1.0
Animalgrams	Microsoft Studios	Puzzle	2010-07-29	1.0
Audiosurf: Tilt	Dylan Fitterer	Music	2009-11-01	1.0
BBQ Battle	Microsoft Studios	Action	2011-04-01	1.1
Bees!!!	Babaroga	Action	2011-06-23	1.0
Castles and Cannons	Microsoft Studios	Action	2010-09-30	1.0
Checkers	Microsoft Studios	Board	2009-11-01	1.0
Chess	Microsoft Studios	Board	2009-11-01	1.1
ColorSpill	2Play Mobile	Puzzle	2011-07-29	1.0
Decoder Ring	Babaroga	Puzzle	2011-07-29	1.0
Dr. Optics Light Lab	Microsoft Studios	Puzzle	2010-09-30	1.0
Halfbrick Echoes	Halfbrick Studios	Action	2011-06-23	1.1
Finger Physics	PressOK Entertainment	Puzzle	2010-12-16	1.0
Goo Splat	Microsoft Studios	Action	2009-11-01	1.1
Hairball	DBA Game Studios	Action	2010-11-20	1.0
Hearts	Microsoft Studios	Card	2010-05-18	1.0
Hexic	Microsoft Studios	Puzzle	2009-09-01	1.0
Labyrinth	Microsoft Studios	Action	2010-04-27	1.0
Lucky Lanes Bowling	Babaroga	Sports	2009-11-01	1.0
Music Quiz	Microsoft Studios	Music	2010-08-19	1.0
Penalty! Flick Soccer	2Play Mobile	Sports	2011-02-18	1.2
Project Gotham Racing : Ferrari Edition	Microsoft Studios	Racing	2009-11-01	1.0
Reversi	2moro	Board	2011-06-23	1.0
Run and Jump	Microsoft Studios	Action	2011-06-23	1.0
Shell Game ...of the Future!	Microsoft Studios	Action	2009-11-01	1.1
Slider Puzzle	Babaroga	Puzzle	2011-07-29	1.1
Snowball	Microsoft Studios	Action	2010-12-16	1.1
Solitaire	Microsoft Studios	Card	2010-04-27	1.1
Space Battle 2	Microsoft Studios	Action	2009-09-01	1.0
Spades	Microsoft Studios	Card	2010-05-18	1.0
Splatter Bug	2Play Mobile	Action	2011-07-29	1.0
Sudoku	Microsoft Studios	Puzzle	2009-09-01	1.0
SuperNova	Microsoft Studios	Puzzle	2011-06-23	1.0
Texas Hold 'em	Microsoft Studios	Card	2009-11-01	1.1
Tiki Totems	Spokko	Puzzle	2010-12-16	1.1
Tiles	Microsoft Studios	Puzzle	2010-10-20	1.0
Trash Throw	2Play Mobile	Action	2011-07-29	1.0
Tug-O-War	2Play Mobile	Action	2011-07-29	1.0
Vans Sk8: Pool Service	Fuel Industries	Sports	2009-11-01	1.0
Vine Climb	2Play Mobile	Action	2011-07-29	1.1
Wordmonger	Foundation 42	Puzzle	2010-09-30	1.0
