Team	Sport	League	Established	Began in St. Louis	Venue	Championships in St. Louis	Left St. Louis
St. Louis Stampede	Arena Football	Arena Football League	1987	1994	Scottrade Center	0	1995
St. Louis Browns	Baseball	American League	1894	1902	Sportsman's Park	0	1954
St. Louis Stars	Baseball	Negro American League	1937	1939	Stars Park	0	1939
St. Louis Terriers	Baseball	Federal League	1914	1914	Handlan's Park	0	1915
St. Louis Maroons	Baseball	National League	1884	1884	Union Base Ball Park	0	1886
St. Louis Stars	Baseball	Negro National League	1922	1931	Stars Park	3 (1928, 1930, 1931)	1931
Spirits of St. Louis	Basketball	American Basketball Association	1967	1974	St. Louis Arena	0	1976
St. Louis Hawks	Basketball	National Basketball Association	1946	1955	Kiel Auditorium	1 (1958)	1968
St. Louis Bombers	Basketball	National Basketball Association	1946	1950	St. Louis Arena	0	1950
St. Louis Cardinals	Football	National Football League	1898	1960	Busch Stadium	0	1988
St. Louis All Stars	Football	National Football League	1923	1923	Sportsman's Park	0	1923
St. Louis Gunners	Football	National Football League	1931	1931	St. Louis National Guard Armory	0	1934
Missouri River Otters	Hockey	United Hockey League	1991	1999	Family Arena	0	2006
St. Louis Eagles	Hockey	National Hockey League	1917	1934	St. Louis Arena	0	1936
St. Louis Ambush	Indoor Soccer	National Professional Soccer League	1984	1992	St. Louis Arena / Scottrade Center	1 (1995)	2000
St. Louis Steamers / St. Louis Storm	Indoor Soccer	Major Indoor Soccer League	1977	1979	St. Louis Arena	0	1992
