Shirt No	Nationality	Player	Birth Date	Height	Position
1	Turkey	Ergül Avcı	June 24, 1987 (age26)	190	Middle Blocker
2	Turkey	Sinem Barut	April 12, 1986 (age27)	186	Middle Blocker
5	Bulgaria	Dobriana Rabadzhieva	June 14, 1991 (age22)	190	Outside Hitter
7	Colombia	Madelaynne Montaño	January 6, 1983 (age31)	185	Opposite Hitter
8	Turkey	Aslı Kalaç	December 13, 1995 (age18)	183	Middle Blocker
9	Serbia	Stefana Veljković	January 9, 1990 (age24)	190	Middle Blocker
10	Japan	Saori Kimura	August 19, 1986 (age27)	185	Wing-Spiker
11	Turkey	Gamze Alikaya	June 27, 1993 (age20)	179	Setter
12	Turkey	Bihter Dumanoğlu	December 13, 1995 (age18)	175	Libero
13	Turkey	Neriman Özsoy	July 7, 1988 (age25)	188	Outside Hitter
14	Italy	Eleonora Lo Bianco	December 22, 1979 (age34)	172	Setter
17	Turkey	Nursevil Aydınlar	December 13, 1995 (age18)	190	Setter
18	Turkey	Ezgi Arslan	March 23, 1992 (age21)	186	Outside Hitter
19	Turkey	Nihan Yeldan	February 7, 1982 (age31)	172	Libero
