Name	Goals	Apps	Avge	Career
Bobby Campbell	121	274	0.44	1979–1983, 1983–1986
Frank O'Rourke	88	192	0.46	1907–1914
Dean Windass	76	216	0.35	1999–2001, 2003–2007
John Hallows	74	164	0.45	1930–1936
Joe Cooke	68	271	0.25	1971–1979, 1981–1984
Gerry Ingram	64	174	0.37	1971–1977
Bobby Ham	64	188	0.34	1967–1971, 1973–1975
David McNiven	64	212	0.30	1978–1983
Sean McCarthy	63	131	0.48	1990–1994
John Hall	63	430	0.15	1962–1974
David Jackson	61	250	0.24	1955–1961
Bruce Bannister	60	208	0.29	1965–1971
Dicky Bond	60	301	0.20	1909–1922
