Stage	Winner	General classification	Points classification	Mountains classification	Combination classification	Team classification
1	ONCE-Eroski	Igor González de Galdeano	Igor González de Galdeano	Jan Hruška	Igor González de Galdeano	ONCE-Eroski
2	Luis Pérez	Joaquim Rodríguez	Joaquim Rodríguez	Luis Pérez	Luis Pérez	ONCE-Eroski
3	Alessandro Petacchi	Joaquim Rodríguez	Joaquim Rodríguez	Luis Pérez	Luis Pérez	ONCE-Eroski
4	Unai Etxebarria	Isidro Nozal	David Etxebarria	Félix Cárdenas	Isidro Nozal	ONCE-Eroski
5	Alessandro Petacchi	Isidro Nozal	Alessandro Petacchi	Félix Cárdenas	Isidro Nozal	ONCE-Eroski
6	Isidro Nozal	Isidro Nozal	Alessandro Petacchi	Félix Cárdenas	Isidro Nozal	ONCE-Eroski
7	Michael Rasmussen	Isidro Nozal	Alessandro Petacchi	Félix Cárdenas	Isidro Nozal	ONCE-Eroski
8	Joaquim Rodríguez	Isidro Nozal	Joaquim Rodríguez	Joan Horrach	Isidro Nozal	ONCE-Eroski
9	Alejandro Valverde	Isidro Nozal	Isidro Nozal	Félix Cárdenas	Isidro Nozal	ONCE-Eroski
10	Erik Zabel	Isidro Nozal	Alessandro Petacchi	Félix Cárdenas	Alejandro Valverde	ONCE-Eroski
11	Erik Zabel	Isidro Nozal	Erik Zabel	Félix Cárdenas	Alejandro Valverde	ONCE-Eroski
12	Alessandro Petacchi	Isidro Nozal	Erik Zabel	Félix Cárdenas	Isidro Nozal	ONCE-Eroski
13	Isidro Nozal	Isidro Nozal	Erik Zabel	Félix Cárdenas	Isidro Nozal	ONCE-Eroski
14	Alessandro Petacchi	Isidro Nozal	Alessandro Petacchi	Félix Cárdenas	Isidro Nozal	ONCE-Eroski
15	Alejandro Valverde	Isidro Nozal	Erik Zabel	Félix Cárdenas	Alejandro Valverde	ONCE-Eroski
16	Félix Cárdenas	Isidro Nozal	Erik Zabel	Félix Cárdenas	Alejandro Valverde	ONCE-Eroski
17	David Millar	Isidro Nozal	Erik Zabel	Félix Cárdenas	Alejandro Valverde	ONCE-Eroski
18	Pedro Diaz Lobato	Isidro Nozal	Erik Zabel	Félix Cárdenas	Alejandro Valverde	ONCE-Eroski
19	Filippo Simeoni	Isidro Nozal	Erik Zabel	Félix Cárdenas	Alejandro Valverde	ONCE-Eroski
20	Roberto Heras	Roberto Heras	Alejandro Valverde	Félix Cárdenas	Alejandro Valverde	iBanesto.com
21	Alessandro Petacchi	Roberto Heras	Erik Zabel	Félix Cárdenas	Alejandro Valverde	iBanesto.com
