Rank	Name	Country	Maglia Rosa	Giro Wins	Points	Young rider
1	Eddy Merckx	Belgium	77	5	2	0
2	Alfredo Binda	Italy	65	5	0	0
3	Francesco Moser	Italy	50	1	4	0
4	Giuseppe Saronni	Italy	48	2	4	0
5=	Gino Bartali	Italy	42	3	0	0
5=	Jacques Anquetil	France	42	2	0	0
7=	Fausto Coppi	Italy	31	5	0	0
7=	Bernard Hinault	France	31	3	0	0
9	Miguel Indurain	Spain	29	2	0	0
10=	Costante Girardengo	Italy	26	2	0	0
10=	Roberto Visentini	Italy	26	1	0	1
12	Gilberto Simoni	Italy	25	2	1	0
13	Fiorenzo Magni	Italy	24	3	0	0
14=	Hugo Koblet	Switzerland	23	1	0	0
14=	Giovanni Valetti	Italy	23	2	0	0
16	Johan de Muynck	Belgium	22	1	0	0
17=	Franco Chioccioli	Italy	21	1	0	1
17=	Tony Rominger	Switzerland	21	1	1	0
19=	Gianni Bugno	Italy	20	1	1	0
19=	Charly Gaul	Luxembourg	20	2	0	0
19=	Felice Gimondi	Italy	20	3	0	0
19=	Pavel Tonkov	Russia	20	1	0	2
24=	Vittorio Adorni	Italy	19	1	0	0
24=	Ivan Basso	Italy	19	2	0	0
24=	Eugeni Berzin	Russia	19	1	0	1
24	Vincenzo Nibali	Italy	19	1	0	0
28=	Danilo Di Luca	Italy	18	1	0	0
28=	Learco Guerra	Italy	18	1	0	0
28=	Stephen Roche	Ireland	18	1	0	0
31=	Giovanni Brunero	Italy	17	3	0	0
31=	Carlo Clerici	Switzerland	17	1	0	0
31=	Carlo Galetti	Italy	17	2	0	0
34=	Vasco Bergamaschi	Italy	15	1	0	0
34=	Giordano Cottur	Italy	15	0	0	0
34=	Laurent Fignon	France	15	1	0	0
34=	Luigi Marchisio	Italy	15	1	0	0
38=	Silvano Contini	Italy	14	0	0	1
38=	Michele Dancelli	Italy	14	0	0	0
38=	Jose Manuel Fuente	Spain	14	0	0	0
38=	Marco Pantani	Italy	14	1	0	0
38=	Paolo Savoldelli	Italy	14	2	0	0
43=	Franco Balmamion	Italy	12	2	0	0
43=	Alex Zülle	Switzerland	12	0	0	0
45=	Moreno Argentin	Italy	11	0	0	0
45=	Gaetano Belloni	Italy	11	1	0	0
45=	Francesco Casagrande	Italy	11	0	0	0
45=	Damiano Cunego	Italy	11	1	0	0
45=	Ivan Gotti	Italy	11	2	0	0
50=	Jens Heppner	Germany	10	0	0	0
50=	Julio Jiménez	Spain	10	0	0	0
50=	Denis Menchov	Russia	10	1	0	0
50=	Claudio Michelotto	Italy	10	0	0	0
50=	Michel Pollentier	Belgium	10	1	0	0
50=	Joaquim Rodríguez	Spain	10	0	0	0
50=	Diego Ronchini	Italy	10	0	0	0
57=	Bartolomeo Aymo	Italy	9	0	0	0
57=	Dario Frigo	Italy	9	0	0	0
57=	Francisco Galdós	Spain	9	0	0	0
57=	Stefano Garzelli	Italy	9	1	0	0
57=	Gastone Nencini	Italy	9	1	0	0
57=	Vito Ortelli	Italy	9	0	0	0
57=	Arnaldo Pambianco	Italy	9	1	0	0
64=	Fausto Bertoglio	Italy	8	1	0	0
64=	Louison Bobet	France	8	0	0	0
64=	Alessandro Fantini	Italy	8	0	0	0
64=	Pasquale Fornara	Italy	8	0	0	0
64=	Andrew Hampsten	United States	8	1	0	0
64=	Jos Hoevenaers	Belgium	8	0	0	0
64=	Laurent Jalabert	France	8	0	1	0
64=	Adolfo Leoni	Italy	8	0	0	0
64=	Gianni Motta	Italy	8	1	1	0
64=	José Perez Frances	Spain	8	0	0	0
64=	Rik Van Steenbergen	Belgium	8	0	0	0
64=	Giovanni Visconti	Italy	8	0	0	0
76=	Ercole Baldini	Italy	7	1	0	0
76=	Erik Breukink	Netherlands	7	0	0	0
19=	Alberto Contador	Spain	7	1	0	0
76=	Armand Desmet	Belgium	7	0	0	0
76=	Cesare Del Cancia	Italy	7	0	0	0
76=	Giuseppe Olmo	Italy	7	0	0	0
76=	Antonio Pesenti	Italy	7	1	0	0
76=	Alessandro Petacchi	Italy	7	0	1	0
76=	Miguel Poblet	Spain	7	0	0	0
76=	Massimo Podenzana	Italy	7	0	0	0
76=	Giancarlo Polidori	Italy	7	0	0	0
19=	Michele Scarponi	Italy	7	1	1	0
76=	Fritz Schär	Switzerland	7	0	0	0
87=	Giancarlo Astrua	Italy	6	0	0	0
87=	Franco Bitossi	Italy	6	0	2	0
