BR No.	Name	Builder	Whenbuilt	Withdrawn
70000	Britannia	Crewe	Cannot handle non-empty timestamp argument! 1951	Cannot handle non-empty timestamp argument! 1966
70001	Lord Hurcomb	Crewe	Cannot handle non-empty timestamp argument! 1951	Cannot handle non-empty timestamp argument! 1966
70002	Geoffrey Chaucer	Crewe	Cannot handle non-empty timestamp argument! 1951	Cannot handle non-empty timestamp argument! 1967
70003	John Bunyan	Crewe	Cannot handle non-empty timestamp argument! 1951	Cannot handle non-empty timestamp argument! 1967
70004	William Shakespeare	Crewe	Cannot handle non-empty timestamp argument! 1951	Cannot handle non-empty timestamp argument! 1967
70005	John Milton	Crewe	Cannot handle non-empty timestamp argument! 1951	Cannot handle non-empty timestamp argument! 1967
70006	Robert Burns	Crewe	Cannot handle non-empty timestamp argument! 1951	Cannot handle non-empty timestamp argument! 1967
70007	Coeur-de-Lion	Crewe	Cannot handle non-empty timestamp argument! 1951	Cannot handle non-empty timestamp argument! 1965
70008	Black Prince	Crewe	Cannot handle non-empty timestamp argument! 1951	Cannot handle non-empty timestamp argument! 1967
70009	Alfred the Great	Crewe	Cannot handle non-empty timestamp argument! 1951	Cannot handle non-empty timestamp argument! 1967
70010	Owen Glendower	Crewe	Cannot handle non-empty timestamp argument! 1951	Cannot handle non-empty timestamp argument! 1967
70011	Hotspur	Crewe	Cannot handle non-empty timestamp argument! 1951	Cannot handle non-empty timestamp argument! 1967
70012	John of Gaunt	Crewe	Cannot handle non-empty timestamp argument! 1951	Cannot handle non-empty timestamp argument! 1967
70013	Oliver Cromwell	Crewe	Cannot handle non-empty timestamp argument! 1951	Cannot handle non-empty timestamp argument! 1968
70014	Iron Duke	Crewe	Cannot handle non-empty timestamp argument! 1951	Cannot handle non-empty timestamp argument! 1967
70015	Apollo	Crewe	Cannot handle non-empty timestamp argument! 1951	Cannot handle non-empty timestamp argument! 1967
70016	Ariel	Crewe	Cannot handle non-empty timestamp argument! 1951	Cannot handle non-empty timestamp argument! 1967
70017	Arrow	Crewe	Cannot handle non-empty timestamp argument! 1951	Cannot handle non-empty timestamp argument! 1966
70018	Flying Dutchman	Crewe	Cannot handle non-empty timestamp argument! 1951	Cannot handle non-empty timestamp argument! 1966
70019	Lightning	Crewe	Cannot handle non-empty timestamp argument! 1951	Cannot handle non-empty timestamp argument! 1966
70020	Mercury	Crewe	Cannot handle non-empty timestamp argument! 1951	Cannot handle non-empty timestamp argument! 1967
70021	Morning Star	Crewe	Cannot handle non-empty timestamp argument! 1951	Cannot handle non-empty timestamp argument! 1967
70022	Tornado	Crewe	Cannot handle non-empty timestamp argument! 1951	Cannot handle non-empty timestamp argument! 1967
70023	Venus	Crewe	Cannot handle non-empty timestamp argument! 1951	Cannot handle non-empty timestamp argument! 1967
70024	Vulcan	Crewe	Cannot handle non-empty timestamp argument! 1951	Cannot handle non-empty timestamp argument! 1967
70025	Western Star	Crewe	Cannot handle non-empty timestamp argument! 1952	Cannot handle non-empty timestamp argument! 1967
70026	Polar Star	Crewe	Cannot handle non-empty timestamp argument! 1952	Cannot handle non-empty timestamp argument! 1967
70027	Royal Star	Crewe	Cannot handle non-empty timestamp argument! 1952	Cannot handle non-empty timestamp argument! 1967
70028	Rising Star	Crewe	Cannot handle non-empty timestamp argument! 1952	Cannot handle non-empty timestamp argument! 1967
70029	Shooting Star	Crewe	Cannot handle non-empty timestamp argument! 1952	Cannot handle non-empty timestamp argument! 1967
70030	William Wordsworth	Crewe	Cannot handle non-empty timestamp argument! 1952	Cannot handle non-empty timestamp argument! 1966
70031	Byron	Crewe	Cannot handle non-empty timestamp argument! 1952	Cannot handle non-empty timestamp argument! 1967
70032	Tennyson	Crewe	Cannot handle non-empty timestamp argument! 1952	Cannot handle non-empty timestamp argument! 1967
70033	Charles Dickens	Crewe	Cannot handle non-empty timestamp argument! 1952	Cannot handle non-empty timestamp argument! 1967
70034	Thomas Hardy	Crewe	Cannot handle non-empty timestamp argument! 1952	Cannot handle non-empty timestamp argument! 1967
70035	Rudyard Kipling	Crewe	Cannot handle non-empty timestamp argument! 1952	Cannot handle non-empty timestamp argument! 1967
70036	Boadicea	Crewe	Cannot handle non-empty timestamp argument! 1952	Cannot handle non-empty timestamp argument! 1966
70037	Hereward the Wake	Crewe	Cannot handle non-empty timestamp argument! 1952	Cannot handle non-empty timestamp argument! 1966
70038	Robin Hood	Crewe	Cannot handle non-empty timestamp argument! 1953	Cannot handle non-empty timestamp argument! 1967
70039	Sir Christopher Wren	Crewe	Cannot handle non-empty timestamp argument! 1953	Cannot handle non-empty timestamp argument! 1967
70040	Clive of India	Crewe	Cannot handle non-empty timestamp argument! 1953	Cannot handle non-empty timestamp argument! 1967
70041	Sir John Moore	Crewe	Cannot handle non-empty timestamp argument! 1953	Cannot handle non-empty timestamp argument! 1967
70042	Lord Roberts	Crewe	Cannot handle non-empty timestamp argument! 1953	Cannot handle non-empty timestamp argument! 1967
70043	Lord Kitchener	Crewe	Cannot handle non-empty timestamp argument! 1953	Cannot handle non-empty timestamp argument! 1965
70044	Earl Haig	Crewe	Cannot handle non-empty timestamp argument! 1953	Cannot handle non-empty timestamp argument! 1966
70045	Lord Rowallan	Crewe	Cannot handle non-empty timestamp argument! 1954	Cannot handle non-empty timestamp argument! 1967
70046	Anzac	Crewe	Cannot handle non-empty timestamp argument! 1954	Cannot handle non-empty timestamp argument! 1967
70047	—	Crewe	Cannot handle non-empty timestamp argument! 1954	Cannot handle non-empty timestamp argument! 1967
70048	The Territorial Army 1908-1958	Crewe	Cannot handle non-empty timestamp argument! 1954	Cannot handle non-empty timestamp argument! 1967
70049	Solway Firth	Crewe	Cannot handle non-empty timestamp argument! 1954	Cannot handle non-empty timestamp argument! 1967
