Week	Date	Opponent	Result	Attendance
1	September 3, 2000	at New England Patriots	W 21-16	60,292
2	September 10, 2000	Chicago Bears	W 41-0	65,569
3	September 17, 2000	at Detroit Lions	W 31-10	76,928
4	September 24, 2000	New York Jets	L 21-17	65,619
5	October 1, 2000	at Washington Redskins	L 20-17 (OT)	83,532
6	October 9, 2000	at Minnesota Vikings	L 30-23	64,162
7	Bye	Bye	Bye	Bye
8	October 19, 2000	Detroit Lions	L 28-14	65,557
9	October 29, 2000	Minnesota Vikings	W 41-13	65,589
10	November 5, 2000	at Atlanta Falcons	W 27-14	70,097
11	November 12, 2000	Green Bay Packers	W 20-15	65,621
12	November 19, 2000	at Chicago Bears	L 13-10	66,944
13	November 26, 2000	Buffalo Bills	W 31-17	65,546
14	December 3, 2000	Dallas Cowboys	W 27-7	65,621
15	December 10, 2000	at Miami Dolphins	W 16-13	74,307
16	December 18, 2000	St. Louis Rams	W 38-35	65,653
17	December 24, 2000	at Green Bay Packers	L 17-14 (OT)	59,692
