Place	Player	Country	Score	To par
T1	Steve Marino	United States	67-68=135	−5
T1	Tom Watson	United States	65-70=135	−5
3	Mark Calcavecchia	United States	67-69=136	−4
T4	Ross Fisher	England	69-68=137	−3
T4	Retief Goosen	South Africa	67-70=137	−3
T4	Miguel Ángel Jiménez	Spain	64-73=137	−3
T4	Kenichi Kuboya	Japan	65-72=137	−3
T4	Vijay Singh	Fiji	67-70=137	−3
T9	Stewart Cink	United States	66-72=138	−2
T9	J. B. Holmes	United States	68-70=138	−2
T9	Mathew Goggin	Australia	66-72=138	−2
T9	James Kingston	South Africa	67-71=138	−2
T9	Lee Westwood	England	68-70=138	−2
