Year	Division	League	Regular Season	Playoffs	U.S. Open Cup
1993	3	USISL	4th, Atlantic Division	Divisional Semifinals	Did Not Enter
1994	3	USISL	9th, Atlantic Division	Did Not Qualify	Did Not Enter
1994	N/A	USISL Indoor	2nd, Northern Division	Did Not Qualify	Did Not Enter
1995	4	USISL Premier League	2nd, Eastern Division	Champions	Champions
1996	3	USISL Select League	2nd, North Atlantic Division	Final	Did Not Qualify
1997	2	USISL A-League	3rd, Atlantic Division	Division Semifinals	3rd Round
1998	2	USISL A-League	1st, Atlantic Division	Conference Semifinals	Did Not Qualify
1999	2	USL A-League	2nd, Atlantic Division	Second Round	Did Not Qualify
2000	2	USL A-League	2nd, Atlantic Division	Conference Semifinals	3rd round
2001	2	USL A-League	1st, Central Conference	Quarterfinals	Quarterfinals
2002	2	USL A-League	2nd, Southeast Division	Final	3rd Round
2003	2	USL A-League	3rd, Southeast Division	Did Not Qualify	Did Not Qualify
2004	2	USL A-League	2nd, Eastern Conference	Quarterfinals	Quarterfinals
2005	2	USL First Division	6th	Final	4th Round
2006	3	USL Second Division	1st	Champions	2nd Round
2007	3	USL Second Division	1st	Final	Quarterfinals
2008	3	USL Second Division	2nd	Semifinals	3rd Round
2009	3	USL Second Division	2nd	Champions	1st Round
2010	3	USL Second Division	2nd	Final	3rd Round
2011	3	USL Pro	3rd, American Division	Semifinals	Semifinals
2012	3	USL Pro	4th	1st Round	3rd Round
