Week	Date	Opponent	Result	Attendance
1	September 17, 1961	Washington Redskins	W 35-3	43,412
2	September 24, 1961	at Green Bay Packers	L 30-10	38,624
3	October 1, 1961	at Detroit Lions	W 49-0	53,155
4	October 8, 1961	Los Angeles Rams	W 35-0	59,004
5	October 15, 1961	at Minnesota Vikings	W 38-24	34,415
6	October 22, 1961	at Chicago Bears	L 31-0	49,070
7	October 29, 1961	at Pittsburgh Steelers	L 20-10	19,686
8	November 5, 1961	Detroit Lions	T 20-20	56,878
9	November 12, 1961	at Los Angeles Rams	L 17-7	63,766
10	November 19, 1961	Chicago Bears	W 41-31	52,972
11	November 26, 1961	Minnesota Vikings	W 38-28	48,905
12	December 3, 1961	at Baltimore Colts	L 20-17	57,641
13	December 10, 1961	Green Bay Packers	W 22-21	55,722
14	December 16, 1961	Baltimore Colts	L 27-24	45,517
