Outcome	Date	Tournament	Surface	Partner	Opponents in the final	Score
Runner-up	22 December 1996	Cape Town , South Africa	Hard	Alicia Pillay	Charlotte Aagaard Maiken Witt Pape	7-5 2-6 3-6
Runner-up	7 March 1999	Wodonga , Australia	Grass	Alicia Pillay	Kerry-Anne Guse Trudi Musgrave	3-6 2-6
Winner	18 July 1999	Frinton , Great Britain	Grass	Nicole Rencken	Leanne Baker Nicole Sewell	6-2 3-6 6-1
Runner-up	12 March 2000	Warrnambool , Australia	Grass	Nicole Rencken	Jenny Belobrajdic Kristen Van Elden	3-6 4-6
Runner-up	19 March 2000	Benalla , Australia	Grass	Nicole Rencken	Kylie Hunt Mareze Joubert	3-6 2-6
Winner	26 March 2000	Wodonga , Australia	Grass	Nicole Rencken	Kylie Hunt Mareze Joubert	6-4 6-4
Runner-up	2 April 2000	Corona , Australia	Grass	Nicole Rencken	Cindy Watson Christina Wheeler	3-6 6-7(11)
Winner	21 May 2000	Edinburgh , Great Britain	Clay	Nicole Rencken	Selima Sfar Lorna Woodroffe	0-6 6-3 6-4
Winner	28 May 2000	Guimaraes , Portugal	Hard	Nicole Rencken	Angela Cardoso Carlota Santos	7-6(7) 2-6 6-2
Winner	11 June 2000	Pretoria , South Africa	Hard	Nicole Rencken	Chanelle Scheepers Carien Venter	7-6(4) 6-2
Runner-up	18 June 2000	Benoni , South Africa	Hard	Nicole Rencken	Lucinda Gibbs Giselle Swart	6-2 4-6 4-6
Runner-up	13 August 2000	Hechingen , Germany	Clay	Nicole Rencken	Miriam D'Agostini Angelika Roesch	6-7(3) 2-6
Winner	20 August 2000	London , Great Britain	Hard	Nicole Rencken	Susi Bensch Manisha Malhotra	6-2 5-7 7-6(6)
Runner-up	5 November 2000	Gold Coast , Australia	Hard	Nicole Rencken	Amanda Augustus Amy Jensen	4-6 3-6
Runner-up	15 July 2001	Felixstowe , Great Britain	Grass	Kim Grant	Trudi Musgrave Julie Pullin	5-7 4-6
Winner	20 October 2002	Mackay , Australia	Hard	Nicole Sewell	Sarah Stone Samantha Stosur	6-3 1-6 6-4
Winner	27 April 2003	Taranto , Italy	Clay	Kim Grant	Nicole Remis Delia Sescioreanu	6-2 6-1
Runner-up	26 October 2003	Rockhampton , Australia	Hard	Martina Muller	Trudi Musgrave Abigail Spears	1-6 5-7
Runner-up	1 February 2004	Waikoloa , USA	Hard	Amanda Augustus	Gisela Dulko Patricia Tarabini	6-1 3-6 3-6
Winner	1 August 2004	Lexington , Great Britain	Hard	Claire Curran	Casey Dellacqua Nicole Sewell	7-6(6) 6-4
Runner-up	9 August 2004	Louisville , USA	Hard	Claire Curran	Julie Ditty Edina Gallovits-Hall	6-1 4-6 2-6
Runner-up	11 October 2004	Lafayette, USA	Clay	Arpi Kojian	Julie Ditty Kristen Schlukebir	2-6 5-7
Winner	30 January 2005	Waikoloa , USA	Hard	Kaysie Smashey	Lauren Breadmore Ayami Takase	6-3 6-4
Winner	15 May 2005	Saint Gaudens , France	Clay	Claire Curran	Maria Jose Argeri Leticia Sobral	6-3 6-1
Runner-up	5 March 2006	Clearwater, USA	Hard	Chanelle Scheepers	Kelly Liggan Lina Stanciute	3-6 1-6
Runner-up	9 July 2006	College Park, USA	Hard	Chin-Wei Chan	Lindsay Nelson Anne Yelsey	1-6 3-6
Winner	21 August 2006	Bronx , USA	Hard	Julie Ditty	Lucie Hradecka Michaela Pastikova	6-1 7-6(2)
Winner	13 November 2006	Mount Gambier , Australia	Hard	Christina Wheeler	Daniella Jeflea Sophie Ferguson	6-4 4-6 6-4
Winner	20 November 2006	Port Pirie , Australia	Hard	Raquel Kops-Jones	Christina Horiatopolous Nicole Kriz	6-2 6-1
Winner	27 November 2006	Nuriootpa , Australia	Hard	Raquel Kops-Jones	Trudi Musgrave Christina Wheeler	6-2 7-6(3)
Winner	28 January 2007	Waikoloa , USA	Hard	Raquel Kops-Jones	Liga Dekmeijere Julie Ditty	6-0 6-3
Runner-up	4 February 2007	Palm Desert , USA	Hard	Raquel Kops-Jones	Julie Ditty Edina Gallovits-Hall	2-6 1-6
Winner	17 July 2007	Boston , USA	Hard	Melinda Czink	Liga Dekmeijere Ipek Senoglu	6-1 6-3
Runner-up	20 July 2007	Lexington , USA	Hard	Casey Dellacqua	Melinda Czink Lindsay Lee-Waters	2-6 6-7(8)
Runner-up	5 August 2007	Washington D.C. , USA	Hard	Julie Ditty	Jorgelina Cravero Betina Jozami	6-1 1-6 2-6
Winner	18 November 2007	Nuriootpa , Australia	Hard	Robin Stephenson	Sophie Ferguson Trudi Musgrave	6-4 7-5
Winner	6 July 2008	Boston , USA	Hard	Chin-Wei Chan	Yulia Fedossova Varvara Lepchenko	6-4 6-3
Runner-up	13 July 2008	Allentown, USA	Hard	Chin-Wei Chan	Carly Gullickson Nicole Kriz	2-6 3-6
Winner	12 October 2008	Traralgon , Australia	Hard	Robin Stephenson	Jarmila Gajdosova Jessica Moore	6-4 6-2
Winner	19 October 2008	Mount Gambier , Australia	Hard	Robin Stephenson	Miki Miyamura Erika Sema	6-4 6-2
Winner	26 October 2008	Port Pirie , Australia	Hard	Robin Stephenson	Lizaan Du Plessis Tiffany Welford	6-2 6-0
Runner-up	23 November 2008	Phoenix, Mauritius	Hard	Kelly Anderson	Teodora Mircic Lenka Tvaroskova	4-6 6-3 4-10
