Region	Date	Label	Format	Catalog
North America	January 1969	Fantasy Records	LP	8387
United Kingdom	July 1969	Liberty Records	LP	LBS 83261
Germany	1969	Bellaphon Records	LP	BLPS 19002
United Kingdom	March 1973	Fantasy Records	LP	FT 507
North America	1983	Fantasy Records	LP	ORC-4513
United Kingdom	July 1984	Fantasy Records	LP	FAS LP 5003
United Kingdom	July 1984	Fantasy Records	Cassette	FAS K 5003
United Kingdom	August 1987	Fantasy Records	LP	FACE 502
United Kingdom	August 1987	Fantasy Records	Cassette	FACC 502
United Kingdom	August 1987	Fantasy Records	CD	CDEF 502
North America	1988	Fantasy Records	Cassette	54513
North America	1988	Fantasy Records	CD	FCD-4513-2
North America	June 10, 2008	Fantasy Records	expanded CD	FAN-30877-02
