Player	Played	Legs Won	Legs Lost	100+	140+	180s	High Checkout	3-dart Average
Phil Taylor	7	68	40	126	99	32	151	104.10
Andy Hamilton	4	19	19	53	33	9	136	100.22
Gary Anderson	6	48	41	101	74	30	170	98.65
Raymond van Barneveld	5	34	21	73	33	19	121	98.15
Terry Jenkins	7	59	57	144	99	36	164	97.63
James Wade	4	23	17	54	34	10	141	95.09
Mervyn King	6	45	40	108	61	24	161	94.70
Simon Whitlock	5	30	24	72	32	14	109	92.84
Robert Thornton	4	21	22	56	30	12	126	92.71
Denis Ovens	4	21	17	63	25	3	122	92.10
Alan Tabern	3	11	9	26	19	4	71	92.04
Vincent van der Voort	3	10	11	30	14	5	146	91.47
Adrian Lewis	3	10	10	26	11	5	127	90.69
Darryl Fitton	5	30	27	56	44	13	117	90.58
Kevin Painter	3	9	14	25	19	5	91	90.08
Mark Webster	5	30	22	70	26	9	158	89.98
Paul Nicholson	3	11	14	29	23	5	140	88.93
Phill Nixon	3	6	13	24	15	1	68	88.36
Kevin McDine	4	20	17	40	15	10	107	88.14
Andy Jenkins	4	21	23	56	24	7	104	87.87
Darin Young	4	17	21	48	24	8	86	87.25
John Part	4	15	17	33	12	4	135	86.93
Gary Mawson	3	11	10	27	9	4	152	86.63
Kirk Shepherd	3	5	15	22	11	1	70	83.89
Colin Lloyd	3	9	15	33	13	2	90	83.38
Wayne Mardle	3	10	12	27	8	2	158	83.23
Michael van Gerwen	3	6	11	20	7	3	52	82.68
Brian Woods	3	4	15	16	9	6	120	82.19
Anastasia Dobromyslova	3	7	15	42	10	0	120	81.46
Niels de Ruiter	3	1	15	25	5	2	73	81.37
Wes Newton	3	10	12	27	10	1	100	80.85
