Season no.	Series no.	Title	Directed by	Written by	Original air date	Production code	U.S. Viewers (millions)
1	156	"Playing Dead"	Michael Smith	Antoinette Stella	April19,2009	8009	4.57
2	157	" Rock Star "	Bill D'Elia	Ed Zuckerman	April26,2009	8008	4.10
3	158	"Identity Crisis"	Michael Smith	Pamela Wechsler	May3,2009	8005	3.14
4	159	"In Treatment"	Jean de Segonzac	Timothy J. Lea	May10,2009	8010	3.14
5	160	" Faithfully "	Jean de Segonzac	Antoinette Stella	May17,2009	8001	3.70
6	161	"Astoria Helen"	Norberto Barba	Timothy J. Lea	May31,2009	8004	3.97
7	162	"Folie à Deux"	David Manson	Michael S. Chernuchin	June7,2009	8003	3.90
8	163	" The Glory That Was... "	Norberto Barba	Robert Nathan	June14,2009	8002	4.14
10	165	"Salome in Manhattan" "Salome"	Steve Shill	Andrew Lipsitz	June28,2009	8006	N/A
11	166	"Lady's Man"	Ken Girotti	Michael S. Chernuchin	June28,2009	8011	N/A
12	167	"Passion"	Jonathan Herron	Michael S. Chernuchin	July12,2009	8012	3.47
14	169	" Major Case "	Chris Zalla	Andrew Lipsitz	July26,2009	8014	4.63
15	170	"Alpha Dog"	Norberto Barba	Walon Green	August2,2009	8007	4.23
