Title	Year	Platform(s)	Director	Producer
Napoleon 6	2001	GBA	Masaki Tawara	Shinji Hatano
Kuru Kuru Kururin 1	2001	GBA	Hiroshi Sato	Shinji Hatano
Mario Party 4 4	2002	GCN	Kenji Kikuchi	Hiroshi Sato
Mario Party 5 4	2003	GCN	Kenji Kikuchi	Hiroshi Sato
Kururin Squash! 1	2004	GCN	Miyuki Hirose	Hiroshi Sato
Mario Party 6 4	2004	GCN	Shuichiro Nishiya	Hiroshi Sato
Mario Party Advance 4	2005	GBA	Shinichi Nakata	Hiroshi Sato
DK: King of Swing 7	2005	GBA	Atsushi Kaneko	Toshiharu Izuno
Mario Party 7 4	2005	GCN	Shuichiro Nishiya	Miyuki Hirose Hiroshi Sato
Elite Beat Agents 5	2006	NDS	Keiichi Yano	Shinya Saito
Mario Party 8 4	2007	Wii	Shuichiro Nishiya	Miyuki Hirose Hiroshi Sato
DK: Jungle Climber 7	2007	NDS	Atsushi Kaneko	Toshiharu Izuno
Donkey Kong Barrel Blast 7	2007	Wii	Kenichi Imaeda	Toshiharu Izuno
Mario Party DS 4	2007	NDS	Koji Matsuura	Miyuki Hirose Hiroshi Sato
Hotel Dusk: Room 215 3	2009	NDS	Taisuke Kanasaki	Satoshi Kira Takuya Miyagawa
Another Code: R 3	2009	Wii	Shigeru Komine	Satoshi Kira Takuya Miyagawa
Last Window: The Secret of Cape West 3	2010	NDS	Taisuke Kanasaki	Satoshi Kira Takuya Miyagawa
Wii Party 2	2010	Wii	Shuichiro Nishiya	Miyuki Hirose Hiroshi Sato
Mario Party 9 2	2012	Wii	Shuichiro Nishiya	Miyuki Hirose Hiroshi Sato
Wii Party U 2	2013	Wii U	Shuichiro Nishiya	Hiroshi Sato
Mario Party: Island Tour 2	2013	3DS	Shuichiro Nishiya	Hiroshi Sato
