Week	Date	Opponent	Result	Attendance
1	September 10, 1990	San Francisco 49ers	L 13-12	68,629
2	September 16, 1990	at Minnesota Vikings	L 32-3	56,272
3	September 23, 1990	Phoenix Cardinals	W 28-7	61,110
4	Bye	Bye	Bye	Bye
5	October 7, 1990	at Atlanta Falcons	L 28-27	57,401
6	October 14, 1990	Cleveland Browns	W 25-20	68,608
7	October 21, 1990	at Houston Oilers	L 23-10	57,908
8	October 28, 1990	Detroit Lions	L 27-10	64,368
9	November 4, 1990	at Cincinnati Bengals	W 21-7	60,067
10	November 11, 1990	Tampa Bay Buccaneers	W 35-7	67,865
11	November 18, 1990	at Washington Redskins	L 31-17	52,573
12	November 25, 1990	Atlanta Falcons	W 10-7	68,629
13	December 2, 1990	at Dallas Cowboys	L 17-13	60,087
14	December 9, 1990	at Los Angeles Rams	W 24-20	56,864
15	December 16, 1990	Pittsburgh Steelers	L 9-6	68,582
16	December 23, 1990	at San Francisco 49ers	W 13-10	60,112
17	December 31, 1990	Los Angeles Rams	W 20-17	68,647
