No	Player	Height	Position	Year born	Current Club
4	Joseph Gomis	1.80	Guard	1978	Grupo Capitol Valladolid
5	Pape Badiane	2.08	Center	1980	Roanne
6	Sacha Giffa	1.97	Forward	1977	Strasbourg
7	Yohann Sangare	1.92	Guard	1983	Lyon-Villeurbanne
8	Yakhouba Diawara	2.01	Forward	1982	Denver Nuggets
9	Tony Parker	1.86	Guard	1982	San Antonio Spurs
10	Cédric Ferchaud	1.94	Guard	1980	Pau-Orthez
11	Florent Piétrus	2.02	Forward	1981	Unicaja Málaga
12	Tariq Kirksay	1.98	Guard	1978	Nancy
13	Boris Diaw	2.03	Forward	1982	Phoenix Suns
14	Ronny Turiaf	2.06	Center	1983	Los Angeles Lakers
