Driver	Constructor	Laps	Time/Retired	Grid
Jochen Rindt	Lotus - Ford	108	1:57:56.84	1
Piers Courage	Brabham - Ford	108	+ 46.99	9
John Surtees	BRM	106	+ 2 Laps	11
Jack Brabham	Brabham - Ford	106	+ 2 Laps	18
Pedro Rodríguez	Ferrari	101	+ 7 Laps	12
Silvio Moser	Brabham - Ford	98	+ 10 Laps	17
Johnny Servoz-Gavin	Matra - Ford	92	Not Classified	15
Graham Hill	Lotus - Ford	90	Accident	4
Jacky Ickx	Brabham - Ford	77	Engine	8
George Eaton	BRM	76	Engine	9
Jean-Pierre Beltoise	Matra - Ford	72	Engine	7
Denny Hulme	McLaren - Ford	52	Gearbox	2
Jackie Stewart	Matra - Ford	35	Engine	3
Pete Lovely	Lotus - Ford	25	Halfshaft	16
Jackie Oliver	BRM	23	Engine	14
Jo Siffert	Lotus - Ford	3	Fuel System	13
Mario Andretti	Lotus - Ford	3	Suspension	5
Bruce McLaren	McLaren - Ford	0	Engine	6
