Date	Opponent	Venue	Result	Attendance
17 August 1996	Aston Villa	H	2-1	26,861
20 August 1996	Leeds United	A	2-0	31,011
24 August 1996	Newcastle United	A	2-1	36,452
2 September 1996	Leicester City	H	2-1	17,657
7 September 1996	Chelsea	H	0-2	30,983
16 September 1996	Arsenal	A	1-4	33,461
21 September 1996	Derby County	H	0-0	23,934
28 September 1996	Everton	A	0-2	34,160
12 October 1996	Wimbledon	A	2-4	10,512
19 October 1996	Blackburn Rovers	H	1-1	22,191
26 October 1996	Coventry City	A	0-0	17,267
2 November 1996	Southampton	H	1-1	20,106
18 November 1996	Nottingham Forest	H	2-0	16,390
23 November 1996	Sunderland	A	1-1	20,644
30 November 1996	West Ham United	H	0-0	22,321
7 December 1996	Liverpool	A	1-0	39,507
18 December 1996	Manchester United	H	1-1	37,671
21 December 1996	Tottenham Hotspur	A	1-1	30,996
26 December 1996	Arsenal	H	0-0	23,245
28 December 1996	Chelsea	A	2-2	27,467
11 January 1997	Everton	H	2-1	24,175
18 January 1997	Middlesbrough	A	2-4	29,485
29 January 1997	Aston Villa	A	1-0	26,726
1 February 1997	Coventry City	H	0-0	21,793
19 February 1997	Derby County	A	2-2	18,060
22 February 1997	Southampton	A	3-2	15,062
1 March 1997	Middlesbrough	H	3-1	28,206
5 March 1997	Nottingham Forest	A	3-0	21,485
12 March 1997	Sunderland	H	2-1	20,294
15 March 1997	Manchester United	A	0-2	55,267
22 March 1997	Leeds United	H	2-2	30,373
9 April 1997	Tottenham Hotspur	H	2-1	22,667
13 April 1997	Newcastle United	H	1-1	33,798
19 April 1997	Wimbledon	H	3-1	26,957
22 April 1997	Blackburn Rovers	A	1-4	20,845
3 May 1997	West Ham United	A	1-5	24,960
7 May 1997	Leicester City	A	0-1	20,793
11 May 1997	Liverpool	H	1-1	38,943
