Week	Date	Opponent	Result	Record	Game site
1	September 3, 2000	Pittsburgh Steelers	W 16–0	1–0–0	Three Rivers Stadium
2	September 10, 2000	Jacksonville Jaguars	W 39–36	2–0–0	PSINet Stadium
3	September 17, 2000	Miami Dolphins	L 6–19	2–1–0	Pro Player Stadium
4	September 24, 2000	Cincinnati Bengals	W 37–0	3–1–0	PSINet Stadium
5	October 1, 2000	Cleveland Browns	W 12–0	4–1–0	Cleveland Browns Stadium
6	October 8, 2000	Jacksonville Jaguars	W 15–10	5–1–0	ALLTEL Stadium
7	October 15, 2000	Washington Redskins	L 3–10	5–2–0	FedEx Field
8	October 22, 2000	Tennessee Titans	L 6–14	5–3–0	PSINet Stadium
9	October 29, 2000	Pittsburgh Steelers	L 6–9	5–4–0	PSINet Stadium
10	November 5, 2000	Cincinnati Bengals	W 27–7	6–4–0	Paul Brown Stadium
11	November 12, 2000	Tennessee Titans	W 24–23	7–4–0	Adelphia Coliseum
12	November 19, 2000	Dallas Cowboys	W 27–0	8–4–0	PSINet Stadium
13	November 26, 2000	Cleveland Browns	W 44–7	9–4–0	PSINet Stadium
14	Bye	Bye	Bye	Bye	Bye
15	December 10, 2000	San Diego Chargers	W 24–3	10–4–0	PSINet Stadium
16	December 17, 2000	Arizona Cardinals	W 13–7	11–4–0	Sun Devil Stadium
17	December 24, 2000	New York Jets	W 34–20	12–4–0	PSINet Stadium
