Round	Pick #	Player	Position	College
1	16	James Williams	Defensive back	Fresno State
2	43	Carwell Gardner	Running back	Louisville
3	70	Glenn Parker	Guard	Arizona
4	101	Eddie Fuller	Running back	LSU
6	155	John Nies	Punter	Arizona
7	167	Brent Griffith	Guard	Minnesota-Duluth
7	171	Brent Collins	Linebacker	Carson-Newman
7	182	Fred DeRiggi	Nose tackle	Syracuse
8	209	Marvcus Patton	Middle Linebacker	UCLA
9	239	Clarkston Hines	Wide receiver	Duke
10	266	Mike Lodish	Defensive tackle	UCLA
11	293	Al Edwards	Wide receiver	Northwestern State, La.
