Representative	Years	State	Party	Lifespan
Clement J. Zablocki	1949–1983	Wisconsin	Democratic	1912–1983
Leo C. Zeferetti	1975–1983	New York	Democratic	1927–
Herbert Zelenko	1955–1963	New York	Democratic	1906–1979
Bill Zeliff	1991–1997	New Hampshire	Republican	1936–
William T. Zenor	1897–1907	Indiana	Democratic	1846–1916
Edward Danner Ziegler	1899–1901	Pennsylvania	Democratic	1844–1931
Frederick Nicholas Zihlman	1917–1931	Maryland	Republican	1879–1935
Dick Zimmer	1991–1997	New Jersey	Republican	1944–
Orville Zimmerman	1935–1948	Missouri	Democratic	1880–1948
Roger H. Zion	1967–1975	Indiana	Republican	1921–
Marion Zioncheck	1933–1936	Washington	Democratic	1901–1936
Felix Zollicoffer	1853–1855	Tennessee	Whig	1812–1862
Felix Zollicoffer	1855–1859	Tennessee	American	1812–1862
Ed Zschau	1983–1987	California	Republican	1940–
John M. Zwach	1967–1975	Minnesota	Republican	1907–1990
