Nation	Distance	Athlete	Venue	Date
United States	8.95m(29ft4¼in)	Mike Powell	Tokyo	1991-08-30
Soviet Union/ Armenia	8.86m(29ft0¾in)	Robert Emmiyan	Tsakhkadzor	1987-05-22
Panama	8.73m(28ft7½in)	Irving Saladino	Hengelo	2008-05-24
Cuba	8.71m(28ft6¾in)	Iván Pedroso	Salamanca	1995-07-18
Greece	8.66m(28ft4¾in)	Louis Tsatoumas	Kalamata	2007-06-02
Jamaica	8.62m(28ft3¼in)	James Beckford	Orlando	1997-04-05
Spain	8.56m(28ft1in)	Yago Lamela	Turin	1999-06-24
Russia	8.56m(28ft1in)	Aleksandr Menkov	Moscow	16 August 2013
East Germany/ Germany	8.54m(28ft0in)	Lutz Dombrowski	Moscow	1980-07-28
Australia	8.54m(28ft0in)	Mitchell Watt	Stockholm	2011-07-29
South Africa	8.50m(27ft10½in)	Godfrey Mokoena	Madrid	2009-07-04
Saudi Arabia	8.48m(27ft9¾in)	Mohamed Salman Al-Khuwalidi	Sotteville-lès-Rouen	2006-07-02
Italy	8.47m(27ft9¼in)	Andrew Howe	Osaka	2007-08-30
Mexico	8.46m(27ft9in)	Luis Rivera	Kazan	2013-07-12
Senegal	8.46m(27ft9in)	Cheikh Tidiane Touré	Bad Langensalza	1997-06-15
Yugoslavia/ Serbia	8.45m(27ft8½in)	Nenad Stekić	Montreal	1975-07-25
Ghana	8.43m(27ft7¾in)	Ignisious Gaisah	Rome	2006-07-14
France	8.42m(27ft7¼in)	Salim Sdiri	Pierre-Bénite	2009-06-12
Bahamas	8.41m(27ft7in)	Craig Hepburn	Nassau	1993-06-17
Zimbabwe	8.40m(27ft6½in)	Ngonidzashe Makusha	Des Moines	2011-06-09
Brazil	8.40m(27ft6½in)	Douglas de Souza	São Paulo	1995-02-15
Slovenia	8.40m(27ft6½in)	Gregor Cankar	Celje	1997-05-18
People's Republic of China	8.40m(27ft6½in)	Lao Jianfeng	Zhaoqing	1997-05-28
Morocco	8.40m(27ft6½in)	Yahya Berrabah	Beyrouth	2009-10-02
Romania	8.37m(27ft5½in)	Bogdan Tudor	Bad Cannstatt	1995-07-09
Portugal	8.36m(27ft5in)	Carlos Calado	Lisbon	1997-06-20
Ukraine	8.35m(27ft4½in)	Sergey Layevskiy	Dnepropetrovsk	1988-07-16
Ukraine	8.35m(27ft4½in)	Roman Shchurenko	Kiev	2000-07-25
United Kingdom	8.35m(27ft4½in)	Christopher Tomlinson	Paris	2011-07-08
Taiwan	8.34m(27ft4¼in)	Nai Huei-Fang	Shanghai	1993-05-14
Venezuela	8.34m(27ft4¼in)	Victor Castillo	Cochabamba	2004-05-30
Bulgaria	8.33m(27ft3¾in)	Ivaylo Mladenov	Seville	1995-06-03
Belarus	8.33m(27ft3¾in)	Aleksandr Glovatskiy	Sestriere	1996-08-07
Egypt	8.31m(27ft3in)	Hassine Hatem Moursal	Oslo	1999-06-30
Hungary	8.30m(27ft2¾in)	László Szalma	Budapest	1985-07-07
Austria	8.30m(27ft2¾in)	Andreas Steiner	Innsbruck	1988-06-04
Netherlands	8.29m(27ft2¼in)	Ignisious Gaisah	Moscow	2013-08-16
Mauritius	8.28m(27ft1¾in)	Jonathan Chimier	Athens	2004-08-24
Poland	8.28m(27ft1¾in)	Grzegorz Marciniszyn	Mals	2001-07-14
Nigeria	8.27m(27ft1½in)	Yussuf Alli	Lagos	1989-08-08
Botswana	8.27m(27ft1½in)	Gable Garenamotse	Rhede	2006-08-20
Algeria	8.26m(27ft1in)	Issam Nima	Zaragoza	2007-07-28
Czech Republic	8.25m(27ft0¾in)	Milan Mikuláš	Prague	1988-07-16
Republic of Moldova	8.25m(27ft0¾in)	Sergey Podgainiy	Chisinau	1990-08-18
Japan	8.25m(27ft0¾in)	Masaki Morinaga	Shizuoka	1992-05-05
Belgium	8.25m(27ft0¾in)	Erik Nys	Hechtel	1996-07-06
Denmark	8.25m(27ft0¾in)	Morten Jensen	Gothenburg	2005-07-03
Namibia	8.24m(27ft0¼in)	Stephan Louw	Germiston	2008-01-12
Croatia	8.23m(27ft0in)	Siniša Ergotić	Zagreb	2002-06-05
Sweden	8.22m(26ft11½in)	Michel Tornéus	Kuortane	2012-07-22
Bermuda	8.22m(26ft11½in)	Tyrone Smith	Mayagüez	2010-07-26
Finland	8.22m(26ft11½in)	Tommi Evilä	Gothenburg	2008-06-28
Korea	8.20m(26ft10¾in)	Kim Deok Hyeon	Belgrade	2009-07-12
Canada	8.20m(26ft10¾in)	Edrick Floreal	Sherbrooke	1991-07-20
Kazakhstan	8.16m(26ft9¼in)	Sergey Vasilenko	Alma Ata	1988-06-18
Qatar	8.13m(26ft8in)	Abdulrahman Faraj Al-Nubi	Manila	2003-09-21
Estonia	8.10m(26ft6¾in)	Erki Nool	Götzis	1995-05-27
Peru	8.10m(26ft6¾in)	Jorge McFarlane	Sucre	2009-11-23
Uzbekistan	8.10m(26ft6¾in)	Aleksandr Pototskiy	Bryansk	1992-06-04
India	8.09m(26ft6½in)	Kumaravel Prem Kumar	New Delhi	5 August 2013
Turkey	8.08m(26ft6in)	Mesut Yavaş	Istanbul	2000-06-24
New Zealand	8.05m(26ft4¾in)	Bob Thomas	Whangarei	1968-01-20
Latvia	8.05m(26ft4¾in)	Juris Tone	Moscow	1983-06-21
Thailand	8.04m(26ft4½in)	Supanara Sukhasvasti	Banglore	2010-06-05
Norway	8.02m(26ft3½in)	Kristen Fløgstad	Bislett	1973-08-04
Philippines	7.99m(26ft2½in)	Henry Dagmil	Eagle Rock	2008-06-07
Israel	7.99m(26ft2½in)	Yochai Halevi	Tel Aviv	2010-05-15
Viet Nam	7.90m(25ft11in)	Nguyen Ngoc Quan	Hanoi	1997-05-02
Malaysia	7.88m(25ft10in)	Josbert Tinus	Bangkok	2007-10-05
Indonesia	7.85m(25ft9in)	Agus Reza Irawan	Jakarta	1995-09-21
United Arab Emirates	7.79m(25ft6½in)	Mousbeh Ali Said	Latakia	1992-09-06
Singapore	7.62m(25ft0in)	Matthew Goh Yujie	Vientiane	2009-12-05
Bahrain	7.47m(24ft6in)	Mohamed Imam Bakhash	Manama	2003-10-16
Lebanon	7.43m(24ft4½in)	Marc Habib	Lebanon	2004-07-22
Jersey	7.21m(23ft7¾in)	Ross Jeffs	Jersey	2012-07-01
Laos	7.20m(23ft7¼in)	Phouphet Singbandith	Norwalk	1990-05-07
Afghanistan	7.05m(23ft1½in)	Mohammed Anwar	Kabul	1940
Brunei	7.04m(23ft1in)	Daniel Chung	Kota Kinabalu	1993-08-07
