Draw	Artist	Original	English Meaning	Language	Authors
1	Alexei Krechet	Joy and Freedom	Joy and Freedom	English	V. Ruzov, A. Shenets
2	Petr Elfimov	Eyes That Never Lie	Eyes That Never Lie	English	P. Elfimov , V. Prokhozhy
3	Cola feat. Lidiya Zablotskaya	Гудок (Gudok)	Dial Tone	Russian	Gridin, V. Shevchenko
4	SingeRin	Don't Think About It	Don't Think About It	English	K. Dudich
5	Dakota (Дакота)	Цябе забываю (Ciabie zabyvaju ? )	I’m forgetting you	Belarusian	Dakota, G. Lobodenko
6	The Champions	Shake It, Europe	Shake It, Europe	English	Nils, O. Orakposim
7	Alex Patlis Band	Кто сказал (Kto skazal)	Who said	Russian	Alex Patlis
8	Litesound feat. Dakota	Carry On	Carry On	English	V. Karyakin
9	Dominica	This Is My Day	This Is My Day	English	S. Sukhomlin, A. Kostugov
10	Dyada Vanya	Наша Belarussia (Nasha Belarussia)	Our Belarussia	Russian	I. Vabishchevich
11	Veter V Golove	Or Or And	Or Or And	English	A. Zakharik, G. Galushko
12	Anna Blagova & Yury Vashchuk	Behind	Behind	English	Y. Vashchuk, A. Zhilina
13	Gunesh	Fantastic Girl	Fantastic Girl	English	Gunesh, M. Khaitbayeva
14	Victoria Belova	Don't Give Up From Love	Don't Give Up From Love	English	A. Klimka, V. Belova
