Poll Source	Dates administered	Democrat: Vivian Davis Figures	Republican: Jeff Sessions	Lead Margin
Survey USA	October 28, 2008	32%	65%	33
Survey USA	October 9, 2008	33%	64%	31
Rasmussen Reports	September 22, 2008	30%	59%	29
SurveyUSA	September 16–17, 2008	31%	66%	35
Rasmussen Reports	July 31, 2008	31%	58%	27
Rasmussen Reports	June 30, 2008	34%	58%	24
Rasmussen Reports	May 27, 2008	29%	62%	33
Rasmussen Reports	April 2, 2008	36%	57%	21
Rasmussen Reports	November 14, 2007	30%	62%	32
SurveyUSA	August 25–27, 2007	37%	59%	22
