Rank	Heat	Lane	Name	Nationality	Time
1	3	4	Brooke Bennett	United States	4:07.57
2	3	5	Claudia Poll	Costa Rica	4:09.33
3	3	3	Janelle Atkinson	Jamaica	4:09.61
4	4	5	Diana Munz	United States	4:10.39
5	5	1	Chen Hua	China	4:10.56
6	4	6	Nadezhda Chemezova	Russia	4:10.76
6	5	4	Hannah Stockbauer	Germany	4:10.76
8	3	7	Carla Geurts	Netherlands	4:10.86
9	5	7	Flavia Rigamonti	Switzerland	4:11.77
10	5	6	Kirsten Vlieghuis	Netherlands	4:11.87
11	4	4	Camelia Potec	Romania	4:11.92
12	5	3	Sachiko Yamada	Japan	4:12.45
13	3	6	Natalya Baranovskaya	Belarus	4:12.67
14	2	4	Laetitia Choux	France	4:13.09
15	5	5	Kerstin Kielgass	Germany	4:13.10
16	4	1	Simona Păduraru	Romania	4:13.89
17	4	2	Irina Ufimtseva	Russia	4:15.41
18	4	7	Kasey Giteau	Australia	4:15.54
19	5	8	Karine Legault	Canada	4:15.55
20	4	8	Sofie Goffin	Belgium	4:15.93
21	3	1	Chantal Strasser	Switzerland	4:16.17
22	2	2	Artemis Dafni	Greece	4:16.94
23	4	3	Yasuko Tajima	Japan	4:17.23
24	2	5	Angels Bardina	Spain	4:17.55
25	2	8	Lin Chi-Chan	Chinese Taipei	4:17.76
26	2	6	Hana Černá	Czech Republic	4:17.96
27	5	2	Sarah-Jane D'Arcy	Australia	4:18.05
28	2	3	Sara Goffi	Italy	4:18.16
29	3	2	Éva Risztov	Hungary	4:18.48
30	1	4	Ivanka Moralieva	Bulgaria	4:19.10
31	1	2	Vesna Stojanovska	Macedonia	4:19.69
32	3	8	Olena Lapunova	Ukraine	4:19.96
33	1	3	Patricia Villarreal	Mexico	4:21.03
34	1	7	Chantal Gibney	Ireland	4:23.73
35	1	1	Nataliya Korabelnikova	Kyrgyzstan	4:24.29
36	1	5	Christel Bouvron	Singapore	4:25.16
37	2	1	Roh Joo-Hee	South Korea	4:25.66
38	1	6	Adi Bichman	Israel	4:27.33
39	2	7	Pilin Tachakittiranan	Thailand	4:29.28
