Place	Player	Country	Score	To par	Money ( $ )
1	Yang Yong-eun	South Korea	73–70–67–70=280	−8	1,350,000
2	Tiger Woods	United States	67–70–71–75=283	−5	810,000
T3	Rory McIlroy	Northern Ireland	71–73–71–70=285	−3	435,000
T3	Lee Westwood	England	70–72–73–70=285	−3	435,000
5	Lucas Glover	United States	71–70–71–74=286	−2	300,000
T6	Ernie Els	South Africa	75–68–70–74=287	−1	233,125
T6	Martin Kaymer	Germany	73–70–71–73=287	−1	233,125
T6	Søren Kjeldsen	Denmark	70–73–70–74=287	−1	233,125
T6	Henrik Stenson	Sweden	73–71–68–75=287	−1	233,125
T10	Pádraig Harrington	Ireland	68–73–69–78=288	E	150,633
T10	Dustin Johnson	United States	72–73–73–70=288	E	150,633
T10	Zach Johnson	United States	74–73–70–71=288	E	150,633
T10	Graeme McDowell	Northern Ireland	70–75–71–72=288	E	150,633
T10	John Merrick	United States	72–72–74–70=288	E	150,633
T10	Francesco Molinari	Italy	74–73–69–72=288	E	150,633
