Week	Date	Opponent	Result	Attendance
1	September 7, 1986	Cincinnati Bengals	W 24–14	43,430
2	September 14, 1986	at Seattle Seahawks	L 23–17	61,068
3	September 21, 1986	Houston Oilers	W 27–13	43,699
4	September 28, 1986	at Buffalo Bills	W 20–17	67,555
5	October 5, 1986	Los Angeles Raiders	L 24–17	74,430
6	October 12, 1986	at Cleveland Browns	L 20–7	71,278
7	October 19, 1986	San Diego Chargers	W 42–41	55,767
8	October 26, 1986	Tampa Bay Buccaneers	W 27–20	36,230
9	November 2, 1986	at San Diego Chargers	W 24–23	48,518
10	November 9, 1986	Seattle Seahawks	W 27–7	53,268
11	November 16, 1986	at Denver Broncos	L 38–17	75,745
12	November 23, 1986	at St. Louis Cardinals	L 23–14	29,680
13	November 30, 1986	Buffalo Bills	L 17–14	31,492
14	December 7, 1986	Denver Broncos	W 37–10	47,019
15	December 14, 1986	at Los Angeles Raiders	W 20–17	60,952
16	December 21, 1986	at Pittsburgh Steelers	W 24–19	47,150
