Frequency	Power D/N	Callsign	Brand	City of License
790	1kW/500W	XEFE	La Pura Ley	Nuevo Laredo
890	10/1kW	KVOZ	La Radio Cristiana ( KCZO )	Laredo
960	5/1kW	XEK	La Estación Grande	Nuevo Laredo
1000	1kW/250W	XENLT	Radio Formula	Nuevo Laredo
1090	1kW/250W	XEWL	W Radio ( XEW )	Nuevo Laredo
1300	1kW/500W	KLAR	Radio Poder	Laredo
1340	1/1kW	XEBK	El Norteñazo	Nuevo Laredo
1370	1kW/250W	XEGNK	Mariachi Estéreo	Nuevo Laredo
1410	1kW/250W	XEAS	Ke Buena XHPO	Nuevo Laredo
1490	1/1kW	KLNT	ESPN Radio	Laredo
1550	5kW/250W	XENU	La Rancherita	Nuevo Laredo
