Round	Pick	Player	Position	School/Club Team
1	21	Harvey Williams	Running back	Louisiana State
2	50	Joe Valerio	Center	Pennsylvania
3	77	Tim Barnett	Wide receiver	Jackson State
5	133	Charles Mincy	Defensive back	Washington
6	162	Darrell Malone	Defensive back	Jacksonville State
7	189	Bernard Ellison	Defensive back	Nevada-Reno
8	218	Tom Dohring	Offensive tackle	Michigan
9	244	Robbie Keen	Kicker	California
10	273	Eric Ramsey	Defensive back	Auburn
11	300	Bobby Olive	Wide receiver	Ohio State
12	329	Ron Shipley	Center	New Mexico
