Name	Years	Gender	Area	Authority	Decile	Roll
Christ The King School	1–8	Coed	Mount Roskill	State	3	152
Dominion Road School	1–6	Coed	Mount Roskill	State	3	296
Halsey Drive School	1–6	Coed	Lynfield	State	9	451
Hay Park School	1–6	Coed	Mount Roskill	State	2	166
Hillsborough School	1–6	Coed	Hillsborough	State	9	396
Marshall Laing School	1–6	Coed	Mount Roskill	State	6	513
May Road School	1–6	Coed	Mount Roskill	State	2	230
Monte Cecilia School	1–8	Coed	Mount Roskill	State	6	170
Mount Roskill Intermediate	7–8	Coed	Mount Roskill	State	4	607
Mount Roskill Primary School	1–6	Coed	Mount Roskill	State	4	750
Royal Oak School	1–6	Coed	Royal Oak	State	8	637
St Therese School	1–8	Coed	Three Kings	State	2	124
Three Kings School	1–6	Coed	Mount Roskill	State	7	543
Waikowhai Intermediate School	7–8	Coed	Mount Roskill	State	6	393
Waikowhai School	1–6	Coed	Mount Roskill	State	3	200
Wesley Intermediate	7–8	Coed	Mount Roskill	State	1	124
Wesley School	1–6	Coed	Mount Roskill	State	1	156
