State	Highest point	Highest elevation	Lowest point	Lowest elevation	Mean elevation
Alabama	Cheaha Mountain	ft m	Gulf of Mexico	sea level	ft m
Alaska	Mount McKinley	ft m	Gulf of Alaska , Bering Sea , and Arctic Ocean	sea level	ft m
Arizona	Humphreys Peak	ft m	Colorado River at Sonora border, San Luis, Arizona	ft m	ft m
Arkansas	Magazine Mountain	ft m	Ouachita River at Louisiana border	ft m	ft m
California	Mount Whitney	ft m	Badwater Basin in Death Valley	ft m	ft m
Colorado	Mount Elbert	ft m	Arikaree River at Kansas border	ft m	ft m
Delaware	Near the Ebright Azimuth	ft m	Atlantic Ocean	sea level	ft m
District of Columbia	Fort Reno	ft m	Potomac River at eastern Maryland border	ft m	ft m
Florida	Britton Hill	ft m	Atlantic Ocean and Gulf of Mexico	sea level	ft m
Georgia	Brasstown Bald	ft m	Atlantic Ocean	sea level	ft m
Hawai ʻ i	Mauna Kea on the Island of Hawai ʻ i	ft m	Pacific Ocean	sea level	ft m
Idaho	Borah Peak	ft m	Confluence of Snake River and Clearwater River	ft m	ft m
Illinois	Charles Mound	ft m	Confluence of Mississippi River and Ohio River	ft m	ft m
Indiana	Hoosier Hill	ft m	Confluence of Ohio River and Wabash River	ft m	ft m
Kansas	Mount Sunflower	ft m	Verdigris River at Oklahoma border	ft m	ft m
Kentucky	Black Mountain	ft m	Mississippi River at Kentucky Bend	ft m	ft m
Louisiana	Driskill Mountain	ft m	Winnrock Quarry, Winn Parish	ft m	ft m
Maine	Mount Katahdin	ft m	Atlantic Ocean	sea level	ft m
Maryland	Hoye-Crest	ft m	Atlantic Ocean	sea level	ft m
Massachusetts	Mount Greylock	ft m	Atlantic Ocean	sea level	ft m
Michigan	Mount Arvon	ft m	Lake Erie	ft m	ft m
Minnesota	Eagle Mountain	ft m	Lake Superior	ft m	ft m
Mississippi	Woodall Mountain	ft m	Gulf of Mexico	sea level	ft m
Missouri	Taum Sauk Mountain	ft m	Saint Francis River at southern Arkansas border	ft m	ft m
Montana	Granite Peak	ft m	Kootenai River at Idaho border	ft m	ft m
Nebraska	Panorama Point	ft m	Missouri River at Kansas border	ft m	ft m
Nevada	Boundary Peak	ft m	Colorado River at California border	ft m	ft m
New Hampshire	Mount Washington	ft m	Atlantic Ocean	sea level	ft m
New Jersey	High Point	ft m	Atlantic Ocean	sea level	ft m
New Mexico	Wheeler Peak	ft m	Red Bluff Reservoir on Texas border	ft m	ft m
New York	Mount Marcy	ft m	Atlantic Ocean	sea level	ft m
North Carolina	Mount Mitchell	ft m	Atlantic Ocean	sea level	ft m
North Dakota	White Butte	ft m	Red River of the North at Manitoba border	ft m	ft m
Ohio	Campbell Hill	ft m	Ohio River at Indiana border	ft m	ft m
Oklahoma	Black Mesa	ft m	Little River at Arkansas border	ft m	ft m
Oregon	Mount Hood	ft m	Pacific Ocean	sea level	ft m
Pennsylvania	Mount Davis	ft m	Delaware River at Delaware border	sea level	ft m
Rhode Island	Jerimoth Hill	ft m	Atlantic Ocean	sea level	ft m
South Carolina	Sassafras Mountain	ft m	Atlantic Ocean	sea level	ft m
South Dakota	Harney Peak	ft m	Big Stone Lake on Minnesota border	ft m	ft m
Tennessee	Clingmans Dome	ft m	Mississippi River at Mississippi border	ft m	ft m
Texas	Guadalupe Peak	ft m	Gulf of Mexico	sea level	ft m
Utah	Kings Peak	ft m	Beaver Dam Wash at Arizona border	ft m	ft m
Vermont	Mount Mansfield	ft m	Lake Champlain	ft m	ft m
Virginia	Mount Rogers	ft m	Atlantic Ocean	sea level	ft m
Washington	Mount Rainier	ft m	Pacific Ocean	sea level	ft m
West Virginia	Spruce Knob	ft m	Potomac River at Virginia border	ft m	ft m
Wisconsin	Timms Hill	ft m	Lake Michigan	ft m	ft m
Wyoming	Gannett Peak	ft m	Belle Fourche River at South Dakota border	ft m	ft m
