Pick	Player	Country of origin*	PBA team	College
1	Mike Cortez *	Philippines	Alaska Aces (from FedEx )	De La Salle
2	Rommel Adducul *	Philippines	Barangay Ginebra Kings	San Sebastian
3	Eddie Laure	Philippines	Shell Turbo Chargers	Adamson
4	Harvey Carey *	United States	Talk N' Text Phone Pals	Sonoma State
5	Brandon Cablay	United States	Alaska Aces (from Sta. Lucia Realtors )	Vanguard
6	Billy Mamaril	United States	Purefoods Tender Juicy Hotdogs	Bakersfield
7	Enrico Villanueva *	Philippines	Red Bull Thunder	Ateneo de Manila
8	Marlon Legazpi	Philippines	San Miguel Beermen	MLQU
9	Reynel Hugnatan #	Philippines	Coca-Cola Tigers	Manila
10	Jimmy Alapag *	United States	Talk 'N Text Phone Pals (from Alaska Aces )	Cal State San Bernardino
