County	Precincts	Lunsford	% Lunsford	McConnell	% McConnell	Total
Adair	16	2,198	30.88%	4,920	69.12%	7,118 (R)
Allen	13	2,331	31.85%	4,987	68.15%	7,318 (R)
Anderson	14	4,787	46.27%	5,558	53.73%	10,345 (R)
Ballard	13	1,893	46.68%	2,162	53.32%	4,055 (R)
Barren	24	6,735	41.15%	9,630	58.85%	16,365 (R)
Bath	12	2,747	61.36%	1,730	38.64%	4,477 (D)
Bell	33	3,494	38.83%	5,505	61.17%	8,999 (R)
Boone	60	15,224	30.75%	34,285	69.25%	49,509 (R)
Bourbon	18	4,325	52.26%	3,951	47.74%	8,276 (D)
Boyd	47	11,174	54.23%	9,430	45.77%	20,604 (D)
Boyle	25	5,854	46.90%	6,627	53.10%	12,481 (R)
Bracken	8	1,382	41.17%	1,975	58.83%	3,357 (R)
Breathitt	21	3,111	61.41%	1,955	38.59%	5,066 (D)
Breckinridge	15	3,736	44.02%	4,752	55.98%	8,488 (R)
Bullitt	44	12,501	41.85%	17,368	58.15%	29,869 (R)
Butler	12	1,771	33.59%	3,501	66.41%	5,272 (R)
Caldwell	13	2,821	46.30%	3,272	53.70%	6,093 (R)
Calloway	30	6,870	45.39%	8,266	54.61%	15,136 (R)
Campbell	66	14,789	37.55%	24,591	62.45%	39,380 (R)
Carlisle	6	1,220	46.51%	1,403	53.49%	2,623 (R)
Carroll	11	2,157	57.23%	1,612	42.77%	3,769 (D)
Carter	23	5,220	53.74%	4,494	46.26%	9,714 (D)
Casey	15	1,783	30.55%	4,053	69.45%	5,836 (R)
Christian	44	9,030	40.79%	13,109	59.21%	22,139 (R)
Clark	26	7,436	48.49%	7,898	51.51%	15,334 (R)
Clay	20	2,458	33.85%	4,804	66.15%	7,262 (R)
Clinton	13	1,029	25.42%	3,019	74.58%	4,048 (R)
Crittenden	12	1,615	41.59%	2,268	58.41%	3,883 (R)
Cumberland	9	763	28.62%	1,903	71.38%	2,666 (R)
Daviess	84	20,779	47.94%	22,563	52.06%	43,342 (R)
Edmonson	10	1,996	38.06%	3,249	61.94%	5,245 (R)
Elliott	7	1,830	71.99%	712	28.01%	2,542 (R)
Estill	15	2,162	41.36%	3,065	58.64%	5,227 (R)
Fayette	274	68,029	54.15%	57,605	45.85%	125,634 (R)
Fleming	18	2,845	50.04%	2,841	49.96%	5,686 (D)
Floyd	42	10,105	64.35%	5,598	35.65%	15,703 (D)
Franklin	44	13,888	59.00%	9,651	41.00%	23,539 (R)
