Rank	Airport	Code (IATA/ICAO)	Total Cargo (Metric Tonnes)	% Change
1.	Memphis International Airport	MEM/KMEM	3,840,491	4.0%
2.	Hong Kong International Airport	HKG/VHHH	3,773,964	4.5%
3.	Ted Stevens Anchorage International Airport	ANC/PANC	2,825,511	0.6%
4.	Shanghai Pudong International Airport	PVG/ZSPD	2,559,310	18.0%
5.	Incheon International Airport	ICN/RKSI	2,555,580	9.4%
6.	Paris-Charles de Gaulle Airport	CDG/LFPG	2,297,896	7.9%
7.	Narita International Airport	NRT/RJAA	2,254,421	1.2%
8.	Frankfurt Airport	FRA/EDDF	2,127,464	8.4%
9.	Louisville International Airport	SDF/KSDF	2,078,947	4.8%
10.	Miami International Airport	MIA/KMIA	1,922,985	5.1%
11.	Singapore Changi Airport	SIN/WSSS	1,918,159	0.7%
12.	Los Angeles International Airport	LAX/KLAX	1,874,317	1.2%
13.	Dubai International Airport	DXB/OMDB	1,668,505	11.0%
14.	Amsterdam Airport Schiphol	AMS/EHAM	1,651,385	5.4%
15.	John F. Kennedy International Airport	JFK/KJFK	1,607,050	1.9%
16.	Taiwan Taoyuan International Airport	TPE/RCTP	1,605,681	5.5%
17.	O'Hare International Airport	ORD/KORD	1,533,606	1.6%
18.	London Heathrow Airport	LHR/EGLL	1,395,905	3.9%
19.	Don Mueang Airport	BKK/VTBS	1,220,001	3.2%
20.	Beijing Capital International Airport	PEK/ZBAA	1,192,553	15.9%
21.	Indianapolis International Airport	IND/KIND	998,675	1.1%
22.	Newark Liberty International Airport	EWR/KEWR	963,794	0.6%
23.	Luxembourg-Findel Airport	LUX/ELLX	856,741	13.8%
24.	Tokyo International Airport	HND/RJTT	852,454	1.8%
25.	Kansai International Airport	KIX/RJBB	845,976	0.5%
26.	Brussels Airport	BRU/EBBR	747,434	11.3%
27.	Dallas-Fort Worth International Airport	DFW/KDFW	724,140	4.1%
28.	Hartsfield-Jackson Atlanta International Airport	ATL/KATL	720,209	3.5%
29.	Cologne Bonn Airport	CGN/EDDK	710,244	2.8%
30.	Guangzhou Baiyun International Airport	CAN/ZGGG	694,923	6.4%
