School	Location	Mascot	County	Year Joined	Year Left
Barr Township	Montgomery	Vikings	14 Daviess	1939	pre-1958
Ellettsville	Ellettsville	Golden Eagles	53 Monroe	1939	1964
Loogootee	Loogootee	Lions	51 Martin	1939	1970
Oolitic	Oolitic	Bearcats	47 Lawrence	1939	1974
Plainville	Plainville	Midgets	14 Daviess	1939	pre-1958
Shoals *	Shoals	Jug Rox	51 Martin	1939 1962	pre-1958 1979
West Baden	West Baden	Sprudels	59 Orange	1939	pre-1958
Central (Switz City)	Switz City	Tigers	28 Greene	pre-1958	1990
Needmore	Needmore	Hilltoppers	47 Lawrence	pre-1958	1974
Odon	Odon	Bulldogs	14 Daviess	pre-1958	1968
Shawswick	Shawswick	Farmers	47 Lawrence	pre-1958	1974
Spencer	Spencer	Cops	60 Owen	pre-1958	1970
Worthington	Worthington	Ramblers	28 Greene	pre-1958	1990
Edgewood	Ellettsville	Mustangs	53 Monroe	1964	1970
L & M	Marco	Braves	28 Greene	1968	1990
