Year	Award	Category	Nominated	Result
2008	TV Adicto Golden Awards	Female Revelation	Maite Perroni	Won
2008	TV Adicto Golden Awards	Male Revelation	William Levy	Won
2008	TV Adicto Golden Awards	Best Couple	Maite Perroni and William Levy	Won
2009	TVyNovelas Award	Best Telenovela of the Year	Nathalie Lartilleux	Nominated
2009	TVyNovelas Award	Best Young Lead Actress	Maite Perroni	Won
2009	TVyNovelas Award	Best First Actress	Helena Rojo	Won
2009	TVyNovelas Award	Best Original Story or Adaptation	Delia Fiallo	Nominated
2009	TVyNovelas Award	Best Direction	Víctor Manuel Fouilloux and Víctor Rodríguez	Nominated
2009	Premios Juventud	What a Hottie!	William Levy	Won
2009	Premios Juventud	Girl of my Dreams	Maite Perroni	Won
