Date	Visitor	Score	Home	Decision	Attendance	Record
December 1	Atlanta	4 – 0	NY Islanders	Dubielewicz	15,355	13–10–1
December 3	Boston	3 – 1	NY Islanders	DiPietro	11,040	13–11–1
December 5	NY Islanders	3 – 4	Atlanta	DiPietro	14,018	13–11–2
December 7	NY Islanders	0 – 3	Florida	DiPietro	14,502	13–12–2
December 8	NY Islanders	3 – 2	Tampa Bay	DiPietro	18,319	14–12–2
December 12	NY Islanders	3 – 5	Buffalo	DiPietro	18,690	14–13–2
December 13	Phoenix	2 – 3	NY Islanders	DiPietro	9,581	15–13–2
December 15	Pittsburgh	3 – 2	NY Islanders	DiPietro	15,269	15–14–2
December 19	Buffalo	2 – 1	NY Islanders	DiPietro	10,806	15–15–2
December 21	NY Islanders	4 – 2	Pittsburgh	DiPietro	17,008	16–15–2
December 22	Washington	2 – 3	NY Islanders	DiPietro	14,305	17–15–2
December 26	Toronto	3 – 4	NY Islanders	Dubielewicz	15,301	18–15–2
December 27	NY Islanders	2 – 5	Ottawa	Dubielewicz	20,268	18–16–2
December 29	New Jersey	2 – 5	NY Islanders	Dubielewicz	16,234	19–16–2
December 31	NY Islanders	4 – 1	Carolina	Dubielewicz	17,091	20–16–2
