English	Galician ( Official )	Galician ( Reintegrationist )	Portuguese	Spanish
Good morning	Bo día / Bos días	Bom Dia	Bom Dia / Bons dias	Buenos días
What is your name?	Como te chamas?	Como te chamas?	Como te chamas?	¿Cómo te llamas?
I love you	Quérote / Ámote	Amo-te	Amo-te	Te quiero / Te amo
Excuse me	Desculpe	Desculpe	Desculpe	Perdón / Disculpe
Thanks / Thank you	Grazas	Obrigado	Obrigado	Gracias
Welcome	Benvido	Bem-vido	Bem-vindo	Bienvenido
Goodbye	Adeus*	Adeus*	Adeus*	Adiós
Yes	Si	Sim	Sim	Sí
No	Non	Nom	Não	No
Dog	Can	Cam	Cão	Perro (rarely, Can)
Grandfather	Avó /aˈbo/	Avô /ɐˈvo/	Avô /ɐˈvo/	Abuelo
Newspaper	Periódico / Xornal	Jornal	Jornal	Periódico
