Res.	Record	Opponent	Method	Event	Round	Time	Location
Win	15–5	Mike Pierce	Submission (heel hook)	UFC Fight Night: Maia vs. Shields	1	0:31	Barueri , São Paulo , Brazil
Loss	14–5	Hector Lombard	KO (punches)	UFC on FX: Sotiropoulos vs. Pearson	1	3:38	Gold Coast, Queensland , Australia
Loss	14–4	Alan Belcher	TKO (punches & elbows)	UFC on Fox: Diaz vs. Miller	1	4:18	East Rutherford, New Jersey , United States
Win	14–3	Mike Massenzio	Submission (heel hook)	UFC 142	1	1:03	Rio de Janeiro , Rio de Janeiro, Brazil
Win	13–3	Dan Miller	Decision (unanimous)	UFC 134	3	5:00	Rio de Janeiro , Rio de Janeiro, Brazil
Win	12–3	David Branch	Submission (kneebar)	UFC Live: Sanchez vs. Kampmann	2	1:44	Louisville, Kentucky , United States
Loss	11–3	Nate Marquardt	TKO (punches)	UFC Fight Night: Marquardt vs. Palhares	1	3:28	Austin, Texas , United States
Win	11–2	Tomasz Drwal	Submission (heel hook)	UFC 111	1	0:45	Newark, New Jersey , United States
Win	10–2	Lucio Linhares	Submission (heel hook)	UFC 107	2	3:21	Memphis, Tennessee , United States
Win	9–2	Jeremy Horn	Decision (unanimous)	UFC 93	3	5:00	Dublin , Ireland
Loss	8–2	Dan Henderson	Decision (unanimous)	UFC 88	3	5:00	Atlanta, Georgia , United States
Win	8–1	Ivan Salaverry	Submission (armbar)	UFC 84	1	2:36	Las Vegas, Nevada , United States
Win	7–1	Daniel Acacio	Submission (heel hook)	Fury FC 5: Final Conflict	1	1:22	São Paulo , Brazil
Win	6–1	Fabio Nascimento	Submission (heel hook)	Fury FC 5: Final Conflict	1	2:45	São Paulo , Brazil
Win	5–1	Flavio Luiz Moura	Submission (heel hook)	Fury FC 4: High Voltage	1	1:21	Teresopolis , Brazil
Win	4–1	Helio Dipp	Submission (rear naked choke)	Floripa Fight 3	1	1:40	Florianópolis , Brazil
Win	3–1	Claudio Mattos	TKO (injury)	Storm Samurai 12	1	4:58	Curitiba , Brazil
Loss	2–1	Arthur Cesar Jacintho	Decision (split)	Rio MMA Challenger 2	3	5:00	Rio de Janeiro , Brazil
Win	2–0	Renan Moraes	Submission (armbar)	Gold Fighters Championship 1	1	N/A	Rio de Janeiro , Brazil
Win	1–0	Bruno Bastos	Decision (split)	Floripa Fight 2	3	5:00	Florianópolis , Brazil
