Season	Series	Team	Races	Wins	Poles	F/Laps	Podiums	Points	Position
2004	Formula Renault 1.6 Belgium	Tom Team	14	1	0	2	2	147	5th
2004	Formula Renault Monza	Tom Team	4	0	0	0	0	28	14th
2004	Formula Junior 1600 Spain	Tom Team	2	0	0	0	1	0	NC†
2005	Eurocup Formula Renault 2.0	SG Formula	10	0	0	0	0	0	37th
2005	Eurocup Formula Renault 2.0	Cram Competition	10	0	0	0	0	0	37th
2005	French Formula Renault Championship	MC Racing	5	0	0	0	0	0	30th
2006	Eurocup Formula Renault 2.0	SG Formula	14	0	0	2	3	61	8th
2006	French Formula Renault Championship	SG Formula	9	2	1	2	2	34	10th
2007	Formula 3 Euro Series	ASM Formule 3	18	0	0	0	3	23	9th
2007	Masters of Formula 3	ASM Formule 3	1	0	0	0	0	N/A	NC
2008	Formula 3 Euro Series	SG Formula	8	0	0	0	1	8	18th
2008	Formula 3 Euro Series	Jo Zeller Racing	8	0	0	0	1	8	18th
2008	Italian Formula Three Championship	Europa Corse	6	0	0	1	4	29	7th
2008	Masters of Formula 3	Jo Zeller Racing	1	0	0	0	0	N/A	16th
2009	Formula 3 Euro Series	HBR Motorsport	8	0	0	0	0	0	30th
2009	Formula 3 Euro Series	Prema Powerteam	8	0	0	0	0	0	30th
2009	German Formula Three Championship	Neuhauser Racing	6	3	3	2	5	49	6th
2010	Italian Formula Three Championship	Scuderia Victoria	5	0	0	1	1	22	13th
2010	Italian Formula Three Championship	EuroInternational	5	0	0	1	1	22	13th
2010	German Formula Three Championship	HS Technik	18	6	7	10	9	120	1st
2011	GP3 Series	Carlin	14	0	1	0	1	15	14th
2011	GP3 Series	Addax Team	14	0	1	0	1	15	14th
2011	Formula 3 Euro Series	Carlin	6	0	0	0	1	0	NC†
2011	Formula 3 Euro Series	Motopark	6	0	0	0	1	0	NC†
2011	FIA Formula 3 International Trophy	Carlin	3	0	0	0	0	0	NC†
2011	FIA Formula 3 International Trophy	Motopark	3	0	0	0	0	0	NC†
2011	GP2 Final	iSport International	2	0	0	0	1	7	6th
2011	German Formula Three Championship– Cup	STROMOS Artline	2	0	0	0	0	0	NC
2011	German Formula Three Championship– Trophy	STROMOS Artline	2	1	2	2	2	16	5th
2012	GP2 Series	Rapax	14	1	0	0	1	29	15th
