Date	Opponent	Score	Loss	Attendance	Record
August 2	Boston Red Sox	2-3	Montague (5-9)	24,344	46-62
August 3	Boston Red Sox	12-4	Wheelock (6-7)	21,152	46-63
August 5	New York Yankees	5-3	Figueroa (10-8)	36,833	47-63
August 6	New York Yankees	9-2	Hunter (6-7)	42,146	48-63
August 7	New York Yankees	1-7	Montague (5-10)	29,412	48-64
August 8	@ Chicago White Sox	4-5	Romo (5-8)	17,047	48-65
August 9	@ Chicago White Sox	3-13	Wheelock (6-8)	12,294	48-66
August 10	@ Baltimore Orioles	4-5	Pole (7-8)	7,579	48-67
August 11	@ Baltimore Orioles	3-4	Romo (5-9)	7,893	48-68
August 12	@ Boston Red Sox	2-7	Mitchell (0-4)	27,005	48-69
August 13	@ Boston Red Sox	6-13	Galasso (0-2)	34,095	48-70
August 14	@ Boston Red Sox	1-11	Wheelock (6-9)	31,223	48-71
August 15	@ Detroit Tigers	1-13	Pole (7-9)	14,414	48-72
August 16	@ Detroit Tigers	3-2	Morris (1-1)	9,065	49-72
August 17	@ Minnesota Twins	3-2	Zahn (11-10)	11,739	50-72
August 18	@ Minnesota Twins	2-8	Galasso (0-3)	13,884	50-73
August 19	Detroit Tigers	4-6	Pole (7-10)	19,698	50-74
August 20	Detroit Tigers	3-7	Abbott (10-8)	55,670	50-75
August 21	Detroit Tigers	4-5	Mitchell (1-5)	15,373	50-76
August 22	Cleveland Indians	1-12	Galasso (0-4)	DH	50-77
August 22	Cleveland Indians	4-3	Garland (10-15)	12,347	51-77
August 24	Toronto Blue Jays	0-7	Pole (7-11)	DH	51-78
August 24	Toronto Blue Jays	3-9	Abbott (10-9)	13,253	51-79
August 26	@ Cleveland Indians	4-2	Kern (6-8)	6,707	52-79
August 27	@ Cleveland Indians	0-10	Galasso (0-5)	7,876	52-80
August 28	@ Cleveland Indians	6-10	Abbott (10-10)	9,599	52-81
August 30	@ New York Yankees	5-6	Segui (0-5)	20,116	52-82
August 31	@ New York Yankees	4-5	Galasso (0-6)	17,362	52-83
