Place	Player	Country	Score	To par
1	Labron Harris	United States	67	–3
T2	Bob Goalby	United States	68	–2
T2	Doug Sanders	United States	68	–2
T2	Lanny Wadkins (a)	United States	68	–2
T5	Jim Colbert	United States	69	–1
T5	Jack Nicklaus	United States	69	–1
T5	Bobby Nichols	United States	69	–1
T8	Gay Brewer	United States	70	E
T8	Charles Coody	United States	70	E
T8	Dale Douglass	United States	70	E
T8	Ralph Johnston	United States	70	E
T8	Johnny Miller	United States	70	E
T8	Chi-Chi Rodríguez	United States	70	E
T8	John Schlee	United States	70	E
T8	Leonard Thompson	United States	70	E
T8	Lee Trevino	United States	70	E
T8	Tom Weiskopf	United States	70	E
