School	Location	Mascot	County	Year Joined	Previous Conference	Year Left
Huntington North *	Huntington	Vikings	35 Huntington	1932	Independents	1974
Noblesville	Noblesville	Millers	29 Hamilton	1932	Hamilton County	1938
Peru	Peru	Tigers	52 Miami	1932	Independents	1998
Rochester	Rochester	Zebras	25 Fulton	1932	North Central	1964
Tipton	Tipton	Blue Devils	80 Tipton	1932	Independents	1998
Wabash	Wabash	Apaches	85 Wabash	1932	Independents	2006
Windfall	Windfall	Dragons	80 Tipton	1932	Independents	1936
Warsaw	Warsaw	Tigers	43 Kosciusko	1933 1953	Independents Northeastern IN	1946 1964
Plymouth	Plymouth	Pilgrims	50 Marshall	1935	Independents	1964
Muncie Burris	Muncie	Owls	18 Delaware	1938	Independents	1976
Hartford City	Hartford City	Airedales	05 Blackford	1945	Independents	1968
Monticello	Monticello	Tioga Indians	91 White	1945	Independents	1963
South Side *	Fort Wayne	Archers	02 Allen	1945	Fort Wayne	1947
