Date	Opponent	Score	Loss	Attendance	Record
September 1	Twins	4 - 0	Milton (6-11)	23,145	71-64
September 2	Twins	6 - 1	Mays (5-7)	22,255	72-64
September 3	@ Royals	5 - 4	Morman (2-3)	13,857	73-64
September 4	@ Royals	6 - 3 (9)	Suppan (8-9)	15,243	74-64
September 5	@ Royals	6 - 3	Escobar (11-10)	15,315	74-65
September 7	@ Mariners	7 - 4	Wells (13-10)	39,709	74-66
September 8	@ Mariners	4 - 3	Koch (0-3)	36,971	74-67
September 10	@ Tigers	7 - 6	Frascatore (7-1)	33,736	74-68
September 11	@ Tigers	9 - 5	Cordero (1-2)	40,269	75-68
September 12	@ Tigers	5 - 3	Weaver (8-11)	39,349	76-68
September 13	Yankees	2 - 1	Hernández (16-8)	30,118	77-68
September 14	Yankees	10 - 6	Koch (0-4)	29,140	77-69
September 15	Yankees	6 - 4	Hentgen (10-11)	29,460	77-70
September 17	White Sox	7 - 3	Escobar (12-11)	30,743	77-71
September 18	White Sox	7 - 4	Quantrill (2-2)	28,260	77-72
September 19	White Sox	3 - 2	Halladay (8-7)	27,120	77-73
September 21	@ Red Sox	3 - 0	Hentgen (10-12)	27,799	77-74
September 22	@ Red Sox	14 - 9	Rapp (6-7)	25,345	78-74
September 23	@ Red Sox	7 - 5	Beck (0-1)	30,780	79-74
September 24	Indians	18 - 4	Munro (0-2)	26,620	79-75
September 25	Indians	9 - 6	Spoljaric (2-1)	32,029	79-76
September 26	Indians	11 - 7	Koch (0-5)	34,253	79-77
September 28	@ Devil Rays	8 - 2	Wheeler (0-4)	19,781	80-77
September 29	@ Devil Rays	6 - 2	Witt (7-15)	22,180	81-77
September 30	@ Indians	9 - 2	Spoljaric (2-2)	43,201	81-78
