Tie no	Home team	Score	Away team	Date
1	Enfield	0–0	Harwich & Parkeston	20 November 1976
Replay	Harwich & Parkeston	0–3	Enfield	23 November 1976
2	Chester	1–0	Hartlepool	20 November 1976
3	Bournemouth	0–0	Newport County	20 November 1976
Replay	Newport County	3–0	Bournemouth	23 November 1976
4	Barrow	0–2	Goole Town	20 November 1976
5	Bury	6–0	Workington	20 November 1976
6	Rochdale	1–1	Northwich Victoria	20 November 1976
Replay	Northwich Victoria	0–0	Rochdale	22 November 1976
Replay	Rochdale	1–2	Northwich Victoria	29 November 1976
7	Weymouth	1–1	Hitchin Town	20 November 1976
Replay	Hitchin Town	2–2	Weymouth	24 November 1976
Replay	Weymouth	3–3	Hitchin Town	29 November 1976
Replay	Hitchin Town	3–1	Weymouth	2 December 1976
8	Reading	1–0	Wealdstone	20 November 1976
9	Walsall	0–0	Bradford City	20 November 1976
Replay	Bradford City	0–2	Walsall	24 November 1976
10	Gillingham	0–1	Watford	20 November 1976
11	Sheffield Wednesday	2–0	Stockport County	20 November 1976
12	Crewe Alexandra	1–1	Preston North End	20 November 1976
Replay	Preston North End	2–2	Crewe Alexandra	23 November 1976
Replay	Crewe Alexandra	0–3	Preston North End	29 November 1976
13	Lincoln City	1–0	Morecambe	20 November 1976
14	Stafford Rangers	0–0	Halifax Town	20 November 1976
Replay	Halifax Town	1–0	Stafford Rangers	23 November 1976
15	Swindon Town	7–0	Bromley	20 November 1976
16	Scarborough	0–0	Darlington	20 November 1976
Replay	Darlington	4–1	Scarborough	22 November 1976
17	Doncaster Rovers	2–2	Shrewsbury Town	20 November 1976
Replay	Shrewsbury Town	4–3	Doncaster Rovers	23 November 1976
18	Wrexham	6–0	Gateshead United	20 November 1976
19	Tranmere Rovers	0–4	Peterborough United	20 November 1976
20	Barnsley	3–1	Boston	20 November 1976
21	Brentford	2–0	Chesham United	20 November 1976
22	Crook Town	1–4	Nuneaton Borough	20 November 1976
23	Brighton & Hove Albion	2–2	Crystal Palace	20 November 1976
Replay	Crystal Palace	1–1	Brighton & Hove Albion	23 November 1976
Replay	Brighton & Hove Albion	0–1	Crystal Palace	6 December 1976
24	Wimbledon	1–0	Woking	20 November 1976
25	Exeter City	1–1	Southend United	20 November 1976
Replay	Southend United	2–1	Exeter City	22 November 1976
26	Scunthorpe United	1–2	Chesterfield	20 November 1976
27	Huddersfield Town	0–0	Mansfield Town	20 November 1976
Replay	Mansfield Town	2–1	Huddersfield Town	22 November 1976
28	Southport	1–2	Port Vale	20 November 1976
29	Matlock Town	2–0	Wigan Athletic	20 November 1976
30	Torquay United	1–2	Hillingdon Borough	20 November 1976
31	Kettering Town	1–1	Oxford United	20 November 1976
Replay	Oxford United	0–1	Kettering Town	23 November 1976
32	Rotherham United	5–0	Altrincham	20 November 1976
33	Aldershot	1–1	Portsmouth	20 November 1976
Replay	Portsmouth	2–1	Aldershot	23 November 1976
34	Droylsden	0–0	Grimsby Town	20 November 1976
Replay	Grimsby Town	5–3	Droylsden	23 November 1976
35	Tooting & Mitcham United	4–2	Dartford	20 November 1976
36	Dudley Town	1–1	York City	20 November 1976
Replay	York City	4–1	Dudley Town	23 November 1976
37	Leatherhead	2–0	Northampton Town	20 November 1976
38	Cambridge United	1–1	Colchester United	20 November 1976
Replay	Colchester United	2–0	Cambridge United	24 November 1976
39	Waterlooville	1–2	Wycombe Wanderers	20 November 1976
40	Swansea City	0–1	Minehead	20 November 1976
