Year	Entrant	Chassis	Engine	Pts.
1960	Team Lotus	Lotus 18	Climax I4	8
1961	Team Lotus	Lotus 21	Climax I4	11
1962	Team Lotus	Lotus 25	Climax V8	30
1963	Team Lotus	Lotus 25	Climax V8	54 (73)
1964	Team Lotus	Lotus 25	Climax V8	32
1964	Team Lotus	Lotus 33	Climax V8	32
1965	Team Lotus	Lotus 33	Climax V8	54
1965	Team Lotus	Lotus 25	Climax V8	54
1966	Team Lotus	Lotus 33	Climax V8	16
1966	Team Lotus	Lotus 43	BRM H16	16
1967	Team Lotus	Lotus 43	BRM H16	41
1967	Team Lotus	Lotus 33	Climax V8	41
1967	Team Lotus	Lotus 49	Ford V8	41
1968	Team Lotus	Lotus 49	Ford V8	9
