Player	Country	Year(s) won	Total	To par
Fred Couples	United States	1992	148	+4
Mark O'Meara	United States	1998	149	+5
Craig Stadler	United States	1982	149	+5
Tom Watson	United States	1977 , 1981	150	+6
Bernhard Langer	Germany	1985 , 1993	151	+7
José María Olazábal	Spain	1994 , 1999	151	+7
Ben Crenshaw	United States	1983 , 1995	152	+8
Raymond Floyd	United States	1976	154	+10
Larry Mize	United States	1987	158	+14
Fuzzy Zoeller	United States	1979	160	+16
Gary Player	South Africa	1961 , 1974 , 1978	161	+17
