Driver	Constructor	Laps	Time/Retired	Grid
Jacques Villeneuve	Williams - Renault	59	1:28:01.665	1
Jean Alesi	Benetton - Renault	59	+10.205	11
Alexander Wurz	Benetton - Renault	59	+11.296	8
David Coulthard	McLaren - Mercedes	59	+31.229	6
Ralf Schumacher	Jordan - Peugeot	59	+31.880	5
Damon Hill	Arrows - Yamaha	59	+1:13.552	12
Giancarlo Fisichella	Jordan - Peugeot	58	+1 Lap	10
Jarno Trulli	Prost - Mugen-Honda	58	+1 Lap	13
Norberto Fontana	Sauber - Petronas	58	+1 Lap	14
Tarso Marques	Minardi - Hart	58	+1 Lap	21
Shinji Nakano	Prost - Mugen-Honda	57	Engine	15
Mika Häkkinen	McLaren - Mercedes	52	Engine	3
Jan Magnussen	Stewart - Ford	50	Engine	16
Jos Verstappen	Tyrrell - Ford	45	Engine	20
Eddie Irvine	Ferrari	44	Halfshaft	7
Mika Salo	Tyrrell - Ford	44	Engine	18
Johnny Herbert	Sauber - Petronas	42	Electrical	9
Michael Schumacher	Ferrari	38	Wheel Bearing	4
Rubens Barrichello	Stewart - Ford	37	Engine	22
Pedro Diniz	Arrows - Yamaha	29	Engine	17
Heinz-Harald Frentzen	Williams - Renault	0	Collision	2
Ukyo Katayama	Minardi - Hart	0	Accident	19
