Week	Date	Opponent	Result	Kickoff [a ]	Game site	Attendance	Record
Week	Date	Opponent	Result	Kickoff [a ]	Game site	Attendance	Record
1	September 10, 1989	at Green Bay Packers	W 23-21	1:00	Lambeau Field	55,650	1-0
2	September 17, 1989	San Francisco 49ers	L 20-16	4:00	Tampa Stadium	64,087	1-1
3	September 24, 1989	New Orleans Saints	W 20-10	1:00	Tampa Stadium	44,053	2-1
4	October 1, 1989	at Minnesota Vikings	L 17-3	1:00	Hubert H. Humphrey Metrodome	54,817	2-2
5	October 8, 1989	Chicago Bears	W 42-35	1:00	Tampa Stadium	72,077	3-2
6	October 15, 1989	Detroit Lions	L 17-16	1:00	Tampa Stadium	46,225	3-3
7	October 22, 1989	at Washington Redskins	L 32-28	1:00	Robert F. Kennedy Memorial Stadium	52,862	3-4
8	October 29, 1989	at Cincinnati Bengals	L 56-23	1:00	Riverfront Stadium	57,225	3-5
9	November 5, 1989	Cleveland Browns	L 42-31	1:00	Tampa Stadium	69,162	3-6
10	November 12, 1989	Minnesota Vikings	L 24-10	1:00	Tampa Stadium	56,271	3-7
11	November 19, 1989	at Chicago Bears	W 32-31	1:00	Soldier Field	63,826	4-7
12	November 26, 1989	at Phoenix Cardinals	W 14-13	4:00	Sun Devil Stadium	33,297	5-7
13	December 3, 1989	Green Bay Packers	L 17-16	1:00	Tampa Stadium	58,120	5-8
14	December 10, 1989	at Houston Oilers	L 20-17	1:00	Astrodome	54,532	5-9
15	December 17, 1989	at Detroit Lions	L 33-7	1:00	Pontiac Silverdome	40,362	5-10
16	December 24, 1989	Pittsburgh Steelers	L 31-22	1:00	Tampa Stadium	29,690	5-11
